タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
今泉ん家はどうやらギャルの溜まり場になってるらしい~DEEP~ (10) (バンブーコミックス),10,2026-07-16,256,238,+18,7
すだちの魔王城（１３） (月刊少年マガジンコミックス),13,2026-07-16,683,244,+439,64.3
きみが死ぬまで恋をしたい: 9【イラスト特典付】 (百合姫コミックス),,2026-07-16,725,266,+459,63.3
黙示録の四騎士（２７） (週刊少年マガジンコミックス),27,2026-07-16,1009,312,+697,69.1
ゆめねこねくと（９） (週刊少年マガジンコミックス),9,2026-07-16,3419,522,+2897,84.7
シャングリラ・フロンティア(27)エキスパンションパス ~クソゲーハンター、神ゲーに挑まんとす~ (講談社キャラクターズA),27,2026-07-16,1358,605,+753,55.4
ガチアクタ（１９） (週刊少年マガジンコミックス),19,2026-07-16,1487,612,+875,58.8
どうやら俺は今どきギャルな歳上幼馴染から激重感情を向けられているらしい (3) (バンブーコミックス),3,2026-07-16,2025,715,+1310,64.7
龍と苺（２８） (少年サンデーコミックス),28,2026-07-16,1496,752,+744,49.7
コミック百合姫 2026年9月号[雑誌],,2026-07-16,5912,1074,+4838,81.8
あの島の海音荘(2) (少年マガジンKC),2,2026-07-16,2864,1118,+1746,61
サンダー３（９） (月刊少年マガジンコミックス),9,2026-07-16,2261,1219,+1042,46.1
きみが死ぬまで恋をしたい 公式コミックアンソロジー (百合姫コミックス),,2026-07-16,5105,1447,+3658,71.7
DEAR BOYS ACT4(23) (月刊少年マガジンKC),23,2026-07-16,3031,1680,+1351,44.6
異世界でテイムした最強の使い魔は、幼馴染の美少女でした(7) (ジャルダンコミックス),7,2026-07-16,5461,1799,+3662,67.1
傷口と包帯（５） (月刊少年マガジンコミックス),5,2026-07-16,4157,1951,+2206,53.1
キミが吠えるための歌を、: 4【イラスト特典付】 (百合姫コミックス),,2026-07-16,4205,1954,+2251,53.5
シブヤニアファミリー（７） (少年サンデーコミックススペシャル),7,2026-07-16,3575,1958,+1617,45.2
青のミブロー新選組編ー（１１） (週刊少年マガジンコミックス),11,2026-07-16,3798,2225,+1573,41.4
ガールズゾンビパーティー (5) (バンブーコミックス),5,2026-07-16,11499,3459,+8040,69.9
ハヤテのごとく！ 完全版（２７） (少年サンデーコミックススペシャル),27,2026-07-16,5396,3827,+1569,29.1
義妹新婚 距離感おかしい義理の妹がグイグイくるんだが！？ (3) (バンブーコミックス),3,2026-07-16,9118,3886,+5232,57.4
カグライ ～神楽と雷人～（５） (少年サンデーコミックス),5,2026-07-16,5483,4121,+1362,24.8
彩純ちゃんはレズ風俗に興味があります！　連載版: 34 (百合姫コミックス),34,2026-07-16,7039,4268,+2771,39.4
ちぃちゃんのおしながき繁盛記 (14) (バンブーコミックス),14,2026-07-16,8156,4270,+3886,47.6
７人の眠り姫（１２） (アフタヌーンコミックス),12,2026-07-16,12292,4381,+7911,64.4
今泉ん家はどうやらギャルの溜まり場になってるらしい~DEEP~ 特装版 (10) (バンブーコミックス),10,2026-07-16,11086,4873,+6213,56
離婚予定の契約婚なのに、冷酷公爵様に執着されています(5) (ぶんか社コミックス PRIMO COMICS),5,2026-07-16,6889,5545,+1344,19.5
ぼのぼの (50) (バンブーコミックス),50,2026-07-16,8059,6104,+1955,24.3
駐在さんとわたし(2) (ぶんか社コミックス),2,2026-07-16,9732,6290,+3442,35.4
戦姫完食シンフォギア～調めし～ (8) (バンブーコミックス),8,2026-07-16,10783,7212,+3571,33.1
パラドン（２） (少年サンデーコミックス),2,2026-07-16,13819,7401,+6418,46.4
淫魔も逃げ出す黒江さん (1) (バンブーコミックス),1,2026-07-16,18366,9638,+8728,47.5
晴れた日のドレスコード(1) (百合姫コミックス),1,2026-07-16,22815,10364,+12451,54.6
誰かオオカミさんのしつけ方知りませんか!?（1） (百合姫コミックス),1,2026-07-16,18632,11350,+7282,39.1
むちむち漫画家の完全勝利メシ 最強ボディで余命も担当編集もぶっ飛ばす! (2) (バンブーコミックス),2,2026-07-16,22339,12995,+9344,41.8
むちむち漫画家の完全勝利メシ 最強ボディで余命も担当編集もぶっ飛ばす! (3) (バンブーコミックス),3,2026-07-16,30342,12996,+17346,57.2
新・蒼太の包丁(8) (ぶんか社コミックス),8,2026-07-16,13775,13867,-92,-0.7
最強の女傭兵 近未来でスポーツ美少女となる (4) (バンブーコミックス),4,2026-07-16,13864,15717,-1853,-13.4
呪呪呪 呪物蒐集家の僕の怪奇な日常 (1) (バンブーコミックス),1,2026-07-16,18776,17279,+1497,8
生産性のないニゴリカワ ： 7 (ジュールコミックス),7,2026-07-16,24241,17438,+6803,28.1
ドラゲミス（３） (少年サンデーコミックス),3,2026-07-16,24729,18606,+6123,24.8
映しちゃダメな顔　【連載版】: 21 (百合姫コミックス),21,2026-07-16,63166,21541,+41625,65.9
カインズオブブルー!(1) (KCデラックス),1,2026-07-16,37825,24525,+13300,35.2
悪役王子の一途な執着、果てない溺愛。 モブ令嬢なのに極上愛撫でイかされっぱなしです！(4) (ぶんか社コミックス S*girl Selection),4,2026-07-16,28715,28506,+209,0.7
殺されたくなくて悪役な婚約者を愛でていたら、なぜか溺愛されました【第9話】 (エンジェライトコミックス),,2026-07-16,46359,28592,+17767,38.3
真逆な２人はどうにもデキない。 ： 10 (ジュールコミックス),10,2026-07-16,39059,34914,+4145,10.6
今、きみを救いたい ： 27 (ジュールコミックス),27,2026-07-16,64551,56593,+7958,12.3
破滅の聖女は運命の夫の溺愛から逃れたい　２４ (ラバココミックス),24,2026-07-16,198688,199704,-1016,-0.5
