順位,タイトル,巻数,発売日
26053,パートごときがでしゃばるなとクビにされました～このスーパー、私達で回してましたが大丈夫ですか？～【単話】 10 (Rentaコミックス),10,2026-07-11
34802,16年目の復讐～奴らを地獄に送るまで１９ (コミックアウル),,2026-07-11
40771,僕が歩く君の軌跡『フレイヤ連載』 60話 ちょっと落ち着きましょうマキさん (フレイヤコミックス),,2026-07-11
60014,「変なバイト見つけた」時給××万円の理由がヤバすぎる２０ (コミックアウル),,2026-07-11
62330,寝取られアンジェニカと鬼畜伯爵［ばら売り］　第11話 (花とゆめコミックススペシャル),,2026-07-11
66230,君を映して離さない［ばら売り］　第22話 (花とゆめコミックススペシャル),,2026-07-11
92152,奇妙な日記～あなたはこの謎を解明できますか？～７ (コミックアウル),,2026-07-11
98633,シアワセな家族６３ (コミックアウル),,2026-07-11
178740,嫌われたいの　～好色王の妃を全力で回避します～【電子単行本版】12巻 (TUGIKURU COMICS),12,2026-07-11
228552,狐の花嫁～今宵、呪われ妻は鬼将校に愛でられる～［ばら売り］　第12話 (花とゆめコミックススペシャル),,2026-07-11
250010,天罰執行～神様に代わって復讐します～６ (コミックアウル),,2026-07-11
