タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
エロいスキルで異世界無双 THE COMIC 5 (ライドコミックス),5,2026-06-29,51,24,+27,52.9
ガチャを回して仲間を増やす 最強の美少女軍団を作り上げろ THE COMIC 14 (ライドコミックス),14,2026-06-29,163,96,+67,41.1
神無き世界のカミサマ活動(13) (ヒーローズコミックス),13,2026-06-29,450,354,+96,21.3
citrus +: 7【イラスト特典付】 (百合姫コミックス),,2026-06-29,1425,793,+632,44.4
不機嫌な公爵様はウソ発見器付き令嬢の取説をご所望です 4 (ライドコミックス),4,2026-06-29,1551,806,+745,48
私が聖女？いいえ、悪役令嬢です！～なので、全員破滅は阻止させていただきます～ 8【電子限定おまけ付き】 (ライドコミックス),,2026-06-29,1083,815,+268,24.7
あらくさ忍法帖 11 (ヤングアニマルコミックス),11,2026-06-29,1922,1115,+807,42
俺と聖女がデキてることがバレたらこのパーティーは崩壊する【電子限定おまけ付き】 2 (ヤングアニマルコミックス),2,2026-06-29,3116,1195,+1921,61.6
ふたりエッチ 95 (ヤングアニマルコミックス),95,2026-06-29,2135,1330,+805,37.7
愛の流星カウーパ 4 (ヤングアニマルコミックス),4,2026-06-29,3189,1936,+1253,39.3
キリングバイツ(27) (ヒーローズコミックス),27,2026-06-29,2671,2040,+631,23.6
拷問バイトくんの日常 8 (ヤングアニマルコミックス),8,2026-06-29,2680,2459,+221,8.2
魔性のメロ女に堕とされる百合アンソロジー (百合姫コミックス),,2026-06-29,9065,3634,+5431,59.9
ガールズバンドクライ 1 (Ride Comics),1,2026-06-29,6963,4096,+2867,41.2
citrus +（7）特装版 (百合姫コミックス),7,2026-06-29,5669,4811,+858,15.1
ユリイカ 2026年7月号 特集＝『天幕のジャードゥーガル』の世界　―トマトスープが描く歴史マンガの新地平―,,2026-06-29,6192,5362,+830,13.4
『citrus +』7巻 特装版小冊子電子版 「見つめ合い」 『citrus +』　小冊子 (百合姫コミックス),7,2026-06-29,25262,7950,+17312,68.5
秘蜜の金髪ツインテール 3 (コミックヘヴン),3,2026-06-29,12748,7997,+4751,37.3
深夜3時のくろねこ喫茶 ２(OZcomic),2,2026-06-29,8623,8224,+399,4.6
不遇の令嬢は稀代の光魔法使いに見初められ花開く～咲き誇る純愛の花～ 1【電子限定おまけ付き】 (ライドコミックス),,2026-06-29,14649,9469,+5180,35.4
猫ノ目ゆうかは語るべからず 1 (ヤングアニマルコミックス),1,2026-06-29,73545,18378,+55167,75
鬼畜島　ダスト・エンペラー　9 (SPコミックス　リイドカフェコミックス),9,2026-06-29,47774,36362,+11412,23.9
魔王と勇者しかいない世界 3 (コミックヘヴン),3,2026-06-29,85123,68708,+16415,19.3
愛より青く【単話版】1話 (Re;zz COMICS),,2026-06-29,86769,103942,-17173,-19.8
俺の愛を読め【単話版】2話 (Re;zz COMICS),,2026-06-29,173779,177374,-3595,-2.1
