順位,タイトル,巻数,発売日
53,裏切られたので、王妃付き侍女にジョブチェンジ！ 8巻 (マッグガーデンコミックスavarusシリーズ),8,2026-09-15
61,貸した魔力は【リボ払い】で強制徴収～用済みとパーティー追放された俺は、可愛いサポート妖精と一緒に取り立てた魔力を運用して最強を目指す。～(6) (メテオCOMICS),6,2026-09-15
77,怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだら最凶の夫婦になりました@COMIC 第3巻 (コロナ・コミックス),3,2026-09-15
93,２度目の人生、と思ったら、実は３度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～@COMIC 第4巻 (コロナ・コミックス),4,2026-09-15
182,コミュ障、異世界へ行く 9巻 (LINEコミックス),9,2026-09-15
460,ジェヴォーダンという獣～牢獄で女をむさぼる元人間の最凶モンスターは、復讐のプリズンブレイクをくわだてる～(2) (メテオCOMICS),2,2026-09-15
520,今日、駅で見た可愛い女の子。(7) (ポラリスCOMICS),7,2026-09-15
524,クレバテス−魔獣の王と赤子と屍の勇者−【フルカラー版】 14巻 クレバテス－魔獣の王と赤子と屍の勇者－【フルカラー版】 (LINEコミックス),14,2026-09-15
525,幼女無双～仲間に裏切られた召喚師、魔族の幼女になって【英霊召喚】で溺愛スローライフを送る～（ポルカコミックス）５,5,2026-09-15
694,ダブル(6) (ヒーローズコミックス　ふらっと),6,2026-09-15
712,クレバテス−魔獣の王と赤子と屍の勇者− 14巻 クレバテス－魔獣の王と赤子と屍の勇者－ (LINEコミックス),14,2026-09-15
849,転生貴族の異世界冒険録～カインのやりすぎギルド日記～（ポルカコミックス）１１,11,2026-09-15
918,姉が剣聖で妹が賢者で（ポルカコミックス）７,7,2026-09-15
1050,飯バフ食堂、盛況なり～「おっさんは邪魔だ！」と追放された付与術師、特技を生かして田舎で食堂を開くも英雄御用達となる～@COMIC 第2巻 (コロナ・コミックス),2,2026-09-15
1097,転がる姉弟(8) (ヒーローズコミックス ふらっと),8,2026-09-15
1564,十三歳の誕生日、皇后になりました。【電子特別版】　10 (プリンセス・コミックス),10,2026-09-15
2092,悪女は美しき獣の愛に咲く (3) (ポラリスCOMICS),3,2026-09-15
2185,辺境領主の俺は悪役令嬢として追放された嫁のため、大国を滅ぼすことにした。(1) (モンスターコミックス),1,2026-09-15
2498,めちゃくちゃ追放される話(1)【電子限定特典付】 (ヒーローズコミックス ふらっと),1,2026-09-15
2949,リストルージュ　5 (ボニータ・コミックス),5,2026-09-15
3253,ベタ惚れの婚約者が悪役令嬢にされそうなので。 10巻 (マッグガーデンコミックスavarusシリーズ),10,2026-09-15
4710,殿下が一目惚れした令嬢の正体はあなたの護衛騎士です！ THE COMIC 3巻 (マッグガーデンコミックスavarusシリーズ),3,2026-09-15
5109,SCPって何ですか？: 5【イラスト特典付】 (HOWLコミックス),,2026-09-15
5953,王家の紋章連載50周年アニバーサリーブック (プリンセスコミックス),,2026-09-15
6205,専業主婦だけど、食い尽くし夫と離婚します　第10巻 (コミックエッセイ),10,2026-09-15
6646,セカンドキスからはじまる恋 (gateauコミックス),,2026-09-15
6962,溺れるほど愛されて、幸せになってみせますわ！アンソロジーコミック 28巻 (COMIC ROOM),28,2026-09-15
7073,ねこまた怪議,,2026-09-15
9190,推しの敵になったので@COMIC 第2巻 (コロナ・コミックス),2,2026-09-15
9604,漫画アクション 2026年10/6号［雑誌］,,2026-09-15
9922,アフターグロウ【7P小冊子】 (gateauコミックス),,2026-09-15
10018,死に戻りの薔薇姫は敵国の公爵に溺愛される(2) (ポラリスCOMICS),2,2026-09-15
11827,となりの宮廷料理人　4 (ボニータ・コミックス),4,2026-09-15
11860,陵の王 3巻 (マッグガーデンコミックスavarusシリーズ),3,2026-09-15
11991,剣に焦ぐ 1 (サイコミ),1,2026-09-15
12296,恋のとなりにお弁当 (リラクトコミックス),,2026-09-15
12299,怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだら最凶の夫婦になりました@COMIC 第3巻 (コロナ・コミックス),3,2026-09-15
12563,絶倫オジサマ紳士に抱き尽くされる契約結婚　～1000万の溺愛絶頂テクで甘イキ止まらない　上 (ラブパルフェコミックス),1,2026-09-15
12891,剣に焦ぐ 2 (サイコミ),2,2026-09-15
13088,ワン ホット ミニット (TENMA COMICS LO),,2026-09-15
13152,先生と僕のお見合い結婚 (gateauコミックス),,2026-09-15
14382,裏切られたので、王妃付き侍女にジョブチェンジ！ 特装版 8巻 裏切られたので、王妃付き侍女にジョブチェンジ！　特装版 (マッグガーデンコミックスavarusシリーズ),8,2026-09-15
16355,贋作の第十番 1 (1) (ボニータコミックス),1,2026-09-15
16610,続・善次くんお借りします［ばら売り］第23話 (花丸漫画),,2026-09-15
16679,魔界の王子と花嫁【コミックス版】(3) (Bebe),3,2026-09-15
17532,プロローグは終末で(1) (ヒーローズコミックス ふらっと),1,2026-09-15
17683,どっちが強い!? 水辺の怪物バトル 乱入!古代ワニパニック (角川まんが科学シリーズ),,2026-09-15
18043,絶倫オジサマ紳士に抱き尽くされる契約結婚　～1000万の溺愛絶頂テクで甘イキ止まらない　下 (ラブパルフェコミックス),3,2026-09-15
19318,カレーを食べてレベルアップ!~カレーを楽しんでいただけなのにいつのまにか最強プレイヤーになっていました~ (1) (メテオCOMICS),1,2026-09-15
19960,綺麗な君に殺されたい。: 4【イラスト特典付】 (HOWLコミックス),,2026-09-15
20076,サヴマ(1) (ヒーローズコミックス ふらっと),1,2026-09-15
21355,恋のメビウス ~彼との主従は幻影の彼方から~ 4 (4) (MIU恋愛MAXコミックス),4,2026-09-15
22034,空想喫茶のめぐり方,,2026-09-15
22488,おとなの初恋【マイクロ】（４７） (フラワーコミックス),47,2026-09-15
23564,魔物喰らいの冒険者～俺だけ魔物を喰らって強くなる～ 5巻 (LINEコミックス),5,2026-09-15
24137,SCPって何ですか？(5) (HOWLコミックス),5,2026-09-15
25003,悪女が生き残る方法～伯爵令嬢に転生したけど処刑されるなんてお断りです～ THE COMIC 1 (マッグガーデンコミック avarusシリーズ),1,2026-09-15
26463,【分冊版】服飾師ルチアはあきらめない ～今日から始める幸服計画～ 第43話 (FWコミックスオルタ),,2026-09-15
26941,少女漫画じゃおしえてくれない！ (gateauコミックス),,2026-09-15
28837,青⇔オレンジ［ばら売り］第29話 (花丸漫画),,2026-09-15
29417,君を食べたい　27 (MIU 恋愛MAX COMICS),27,2026-09-15
33029,異世界に来たけど、生活魔法しか使えません THE COMIC【分冊版】 9巻 (マッグガーデンコミックスBeat'sシリーズ),9,2026-09-15
36423,ヨコハマ・バディ・パラドックス (gateauコミックス),,2026-09-15
39723,人妻物語（フルカラー）12 (コミックダイス),12,2026-09-15
40295,ろくでなしヒーロー (gateauコミックス),,2026-09-15
40580,ふたりよがりなメルティチャーム(8) (MooiComics),8,2026-09-15
40612,転生して田舎でもふもふとスローライフをおくりたい１ (このマンガがすごい！ comics),1,2026-09-15
40776,きもちいいならためしたい。 (gateauコミックス),,2026-09-15
43279,ベタ惚れの婚約者が悪役令嬢にされそうなので。 特装版 10巻 ベタ惚れの婚約者が悪役令嬢にされそうなので。　特装版 (マッグガーデンコミックスavarusシリーズ),10,2026-09-15
43310,小国の侯爵令嬢は敵国にて覚醒する【単話版】２５ (PASH! コミックス),25,2026-09-15
44059,後宮オメガ～皇帝の番～【電子単行本】　上 (PRINCESS COMICS DX カチCOMI),1,2026-09-15
50701,理系メガネな彼にとろあま調教されてます【電子単行本】　3 (MIU 恋愛MAX COMICS),3,2026-09-15
51328,なんぼの食卓 1 (1) (ボニータコミックス),1,2026-09-15
54274,後宮オメガ～皇帝の番～【電子単行本】　下 (PRINCESS COMICS DX カチCOMI),3,2026-09-15
54446,虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】２１ (PASH! コミックス),21,2026-09-15
85871,ラスボス国王陛下はご寵愛がすぎる～推し悲恋キャラに転生したので平穏エンドを目指します～（７） (異世界フラワーコミックス),7,2026-09-15
92940,世界にQのひとつまみ (ボニータコミックス),,2026-09-15
96373,虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】２０ (PASH! コミックス),20,2026-09-15
143770,魔法少女イナバ 連載版：12 (ブシロードコミックス),12,2026-09-15
182179,領地を立て直したい嫌われ者のお色気令嬢は成り上がり貴族に溺愛される【単話版】１２ (PASH! コミックス),12,2026-09-15
—,瑠璃の宝石 8 (HARTA COMIX),8,2026-09-15
—,フランス夫の愛がエグい　Second (はちみつコミックエッセイ),,2026-09-15
