タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
迷宮狂走曲 3　～エロゲ世界なのにエロそっちのけでひたすら最強を目指すモブ転生者～ (ガルドコミックス),3,2026-08-08,549,153,+396,72.1
8歳から始める魔法学 6 (ガルドコミックス),6,2026-08-08,791,193,+598,75.6
誰にも愛されなかった醜穢令嬢が幸せになるまで 4 (ガルドコミックス),4,2026-08-08,1544,513,+1031,66.8
無気力ニートな元神童、冒険者になる 7 (ガルドコミックス),7,2026-08-08,3624,1106,+2518,69.5
アルドの異世界転生 2 (ガルドコミックス),2,2026-08-08,4705,1347,+3358,71.4
麗しの皇帝陛下の番に選ばれてしまったのですが、まだ仕事がしたいので秘密です！ 3 (ガルドコミックス),3,2026-08-08,4078,1488,+2590,63.5
創成魔法の再現者 8 (ガルドコミックス),8,2026-08-08,5769,3433,+2336,40.5
16年目の復讐～奴らを地獄に送るまで【電子単行本版】５ (コミックアウル),,2026-08-08,5005,3489,+1516,30.3
復讐パパ ～イジメ・リベンジャー～【単行本版】 6巻 (サイコワコミック),6,2026-08-08,8389,4421,+3968,47.3
きのした魔法工務店　異世界工法で最強の家づくりを（コミック）　４【電子特装版】ガウレア領地域共創報告書～ドキドキ！夜の工務店編～ (GAコミック),,2026-08-08,13154,5002,+8152,62
私を叱る日鷹君と毎晩シています［ばら売り］　第8話 (花とゆめコミックススペシャル),,2026-08-08,26684,5175,+21509,80.6
社交界の毒婦とよばれる私～素敵な辺境伯令息に腕を折られたので、責任とってもらいます～［ばら売り］　第20話 (花とゆめコミックススペシャル),,2026-08-08,34307,6739,+27568,80.4
僕が歩く君の軌跡【合冊版】(10) (フレイヤコミックス),10,2026-08-08,8132,6870,+1262,15.5
アカデミーの天才剣士（コミック）２ (GAコミック),,2026-08-08,20696,7484,+13212,63.8
聖女様に婚約者を奪われたので、魔法史博物館に引きこもります。（コミック）　３ (GAコミック),3,2026-08-08,23029,13743,+9286,40.3
だから、私言ったわよね？　～没落令嬢の案外楽しい領地改革～（コミック）　１ (GAコミック),1,2026-08-08,39002,15448,+23554,60.4
うすかわいちまいむこうがわ 1　～婚約破棄された二度目の人生、あやかしを視る目が最強軍人を導く～ (ガルドコミックス),1,2026-08-08,20469,19456,+1013,4.9
寡黙な将軍閣下様は魔力ゼロの嫁が好きすぎる～なぜか旦那様の心の声が聞こえます!?～［1話売り］　story09 (花とゆめコミックススペシャル),3,2026-08-08,81740,32321,+49419,60.5
【報告】とある未解決事件について９ (コミックアウル),,2026-08-08,93495,33034,+60461,64.7
徒然チルドレン　カラー版（８） (星海社コミックス),8,2026-08-08,40446,41173,-727,-1.8
16年目の復讐～奴らを地獄に送るまで２０ (コミックアウル),,2026-08-08,44164,44796,-632,-1.4
「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない！」と王立研究所に即採用されました。[ばら売り]　第29話 (花とゆめコミックススペシャル),,2026-08-08,140504,49979,+90525,64.4
寝取られアンジェニカと鬼畜伯爵［ばら売り］　第12話 (花とゆめコミックススペシャル),,2026-08-08,83260,51832,+31428,37.7
シアワセな家族【電子単行本版】１０ (コミックアウル),,2026-08-08,56650,52633,+4017,7.1
シアワセな家族６４ (コミックアウル),,2026-08-08,143160,62851,+80309,56.1
狐の花嫁～今宵、呪われ妻は鬼将校に愛でられる～［ばら売り］　第13話 (花とゆめコミックススペシャル),,2026-08-08,161795,64817,+96978,59.9
ディストピア～引越し先は不貞のシェアハウス～６ (コミックアウル),,2026-08-08,196924,65119,+131805,66.9
解放宣言～溺愛も執着もお断りです！～【電子単行本版】7巻 (TUGIKURU COMICS),7,2026-08-08,137134,82607,+54527,39.8
無自覚な天才少女は気付かない[ばら売り]　第33話 (花とゆめコミックススペシャル),,2026-08-08,82379,94506,-12127,-14.7
天罰執行～神様に代わって復讐します～７ (コミックアウル),,2026-08-08,106374,117128,-10754,-10.1
イットボーイハント［ばら売り］第24話［DRUNK!］ イットボーイハント［ばら売り］［DRUNK!］ (花とゆめコミックススペシャル),,2026-08-08,120001,129236,-9235,-7.7
君を映して離さない［ばら売り］　第23話 (花とゆめコミックススペシャル),,2026-08-08,137131,145528,-8397,-6.1
