タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
望まぬ不死の冒険者 14 (ガルドコミックス),14,2026-08-20,23,7,+16,69.6
ありふれた職業で世界最強 17 (ガルドコミックス),17,2026-08-20,95,22,+73,76.8
THE NEW GATE18 (アルファポリスCOMICS),,2026-08-20,369,31,+338,91.6
ひとりぼっちの異世界攻略 28 (ガルドコミックス),28,2026-08-20,210,36,+174,82.9
北斗の拳 世紀末ドラマ撮影伝 9巻 (ゼノンコミックス),9,2026-08-20,304,46,+258,84.9
フシノカミ 11　～辺境から始める文明再生記～ (ガルドコミックス),11,2026-08-20,360,68,+292,81.1
追放者食堂へようこそ！11　～最強パーティーを追放された料理人は、冒険者食堂を開きます！～ (ガルドコミックス),,2026-08-20,250,70,+180,72
テンカイチ　日本最強武芸者決定戦（１４） (ヤングマガジンコミックス),14,2026-08-20,534,202,+332,62.2
信長を殺した男～日輪のデマルカシオン～　10 (ヤングチャンピオン・コミックス),10,2026-08-20,565,221,+344,60.9
一生働きたくない俺が、クラスメイトの大人気アイドルに懐かれたら 6 (ガルドコミックス),6,2026-08-20,924,282,+642,69.5
貴族家三男の成り上がりライフ　生まれてすぐに人外認定された少年は異世界を満喫する４ (アルファポリスCOMICS),1,2026-08-20,1679,295,+1384,82.4
サキュバス＆ヒットマン　14 (チャンピオンREDコミックス),14,2026-08-20,977,305,+672,68.8
ワカコ酒 (27) (ゼノンコミックス),27,2026-08-20,948,343,+605,63.8
豚の復讐 13巻【特典イラスト付き】 (ゼノンコミックス),13,2026-08-20,1314,384,+930,70.8
恋愛感情のまるでない幼馴染漫画【電子限定特典付き】 (8) (バンブーコミックス),8,2026-08-20,881,401,+480,54.5
大自然の魔法師アシュト、廃れた領地でスローライフ８ (アルファポリスCOMICS),,2026-08-20,1551,425,+1126,72.6
ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました 11 (ガルドコミックス),11,2026-08-20,1054,470,+584,55.4
ビッグコミックオリジナル 2026年17号（2026年8月20日発売) [雑誌],,2026-08-20,40562,480,+40082,98.8
犬飼くんのシッポ－恋するMOON DOGスピンオフ－【電子限定おまけ付き】 3 (花とゆめコミックススペシャル),3,2026-08-20,1156,499,+657,56.8
魔女大戦 32人の異才の魔女は殺し合う 16巻【特典イラスト付き】 (ゼノンコミックス),16,2026-08-20,1178,532,+646,54.8
めしぬま。 16巻【特典イラスト付き】 (ゼノンコミックス),16,2026-08-20,3178,738,+2440,76.8
ドルフィン 17 (17) (チャンピオンREDコミックス),17,2026-08-20,1399,786,+613,43.8
恋愛志向生徒会　11 (ヤングチャンピオン・コミックス),11,2026-08-20,1876,851,+1025,54.6
異世界じゃスローライフはままならない　～聖獣の主人は島育ち～７ (アルファポリスCOMICS),,2026-08-20,3338,896,+2442,73.2
少女マンガなら叶わない恋 (3) (ビボピーコミックス),3,2026-08-20,2492,920,+1572,63.1
金色のマビノギオン　―アーサー王の妹姫― 9 金色のマビノギオン―アーサー王の妹姫― (花とゆめコミックススペシャル),,2026-08-20,2361,944,+1417,60
営業部の高杉さんは心臓に悪い 5 (花とゆめコミックス),5,2026-08-20,2580,968,+1612,62.5
俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件 11 (ガルドコミックス),11,2026-08-20,3268,982,+2286,70
フレンドガールフレンド 2 (花とゆめコミックススペシャル),2,2026-08-20,4491,1079,+3412,76
クラス転移したら、なぜか引きこもりの俺まで異世界に連れてかれたんだが 3　～俺だけのユニークギフト『自宅』は異世界最強でした～ (ガルドコミックス),3,2026-08-20,3802,1119,+2683,70.6
ラスボスの私が主人公の妻になりました 5 (piccomics),5,2026-08-20,4295,1185,+3110,72.4
おやすみ、またね。ましろくん。 4【電子限定漫画付き】 おやすみ、またね。ましろくん。【電子限定漫画付き】 (B.PilzCOMICS),,2026-08-20,2519,1290,+1229,48.8
間違い召喚！ 追い出されたけど上位互換スキルでらくらく生活６ 間違い召喚！　追い出されたけど上位互換スキルでらくらく生活 (アルファポリスCOMICS),1,2026-08-20,2728,1301,+1427,52.3
転生しても実家を追い出されたので、今度は自分の意志で生きていきます４ (アルファポリスCOMICS),,2026-08-20,7876,1668,+6208,78.8
ドロップアウトからの再就職先は、異世界の最強騎士団でした 5 (ガルドコミックス),5,2026-08-20,3647,1709,+1938,53.1
マトリの推し事　芸能人の家宅捜索をやりたくて 4巻 (ゼノンコミックス),4,2026-08-20,6096,1892,+4204,69
列強戦線 8巻【特典イラスト付き】 (ゼノンコミックス),8,2026-08-20,6105,2084,+4021,65.9
ゴジラ ギャラクシーオデッセイ 3 (3) (ヤングチャンピオンコミックス),3,2026-08-20,6816,2724,+4092,60
マトリと狂犬 ―路地裏の男達―　13 (ヤングチャンピオン・コミックス),13,2026-08-20,5177,2771,+2406,46.5
