タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
薬屋のひとりごと 17巻 (デジタル版ビッグガンガンコミックス),17,2026-07-24,3,3,0,0
スーパーの裏でヤニ吸うふたり 9巻 (デジタル版ビッグガンガンコミックス),9,2026-07-24,17,4,+13,76.5
転移先は薬師が少ない世界でした７ (レジーナCOMICS),,2026-07-24,315,62,+253,80.3
プラスチック姉さん 30巻 (デジタル版ヤングガンガンコミックス),30,2026-07-24,276,124,+152,55.1
解雇された宮廷錬金術師は辺境で大農園を作り上げる～祖国を追い出されたけど、最強領地でスローライフを謳歌する～8巻 (グラストCOMICS),8,2026-07-24,149,125,+24,16.1
転生悪役幼女は最恐パパの愛娘になりました5巻 (Berry's COMICS),5,2026-07-24,375,162,+213,56.8
闇堕ちラスボス令嬢の幼馴染に転生した。俺が死んだらバッドエンド確定なので最強になったけど、もう闇堕ち【ヤンデレ化】してませんか？２ (ノヴァコミックス),,2026-07-24,505,166,+339,67.1
ダンジョンに出会いを求めるのは間違っているだろうか 外伝　ソード・オラトリア 34巻 (デジタル版ガンガンコミックスJOKER),34,2026-07-24,584,229,+355,60.8
バルバロ！ ： 4 (アクションコミックス),4,2026-07-24,622,327,+295,47.4
悪役令嬢にオネエが転生したけど何も問題がない件２ (レジーナCOMICS),,2026-07-24,1126,426,+700,62.2
双子王子の継母になりまして～嫌われ悪女ですが、そんなことより義息子たちが可愛すぎて困ります～3巻 (Berry's COMICS),3,2026-07-24,3210,459,+2751,85.7
野原ひろし 昼メシの流儀 ： 15 (アクションコミックス),15,2026-07-24,785,484,+301,38.3
MURCIÉLAGO -ムルシエラゴ- 29巻 (デジタル版ヤングガンガンコミックス),29,2026-07-24,1092,492,+600,54.9
ダンジョンに出会いを求めるのは間違っているだろうかⅡ 7巻 (デジタル版ヤングガンガンコミックス),7,2026-07-24,828,532,+296,35.7
追放貴族は、外れスキル【古代召喚】で英霊たちと辺境領地を再興する～英霊たちを召喚したら慕われたので、最強領地を作り上げます～8巻 (グラストCOMICS),8,2026-07-24,566,539,+27,4.8
調教師は魔物に囲まれて生きていきます。～勇者パーティーに置いていかれたけど、伝説の魔物と出会い最強になってた～9巻 (グラストCOMICS),9,2026-07-24,613,601,+12,2
