順位,タイトル,巻数,発売日
764,【電子版限定特典付き】ブチ切れ令嬢は報復を誓いました。11～魔導書の力で祖国を叩き潰します～ (HJコミックス),,2026-07-01
1680,ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！@COMIC 第7巻 (コロナ・コミックス),7,2026-07-01
1731,オーイ!とんぼ 第63巻 (ゴルフダイジェストコミックス),63,2026-07-01
2681,草魔法師クロエの二度目の人生 自由になって子ドラゴンとレベルMAX薬師ライフ 7 (B's-LOG COMICS),7,2026-07-01
3266,百合ＳＭでふたりの気持ちはつながりますか？　６巻 (ＦＵＺコミックス),6,2026-07-01
4284,腐男子の俺が陽キャ幼馴染に迫られてる件３ (アンダルシュCOMICS),,2026-07-01
5162,断罪された当て馬王子と愛したがり黒龍陛下の幸せな結婚２ (アンダルシュCOMICS),3,2026-07-01
6788,断罪された悪役令嬢ですが、パンを焼いたら聖女にジョブチェンジしました!? 3 (B's-LOG COMICS),3,2026-07-01
11136,元悪役令嬢とＳ級冒険者のほのぼの街暮らし～不遇なキャラに転生してたけど、理想の美女になれたからプラマイゼロだよね～@COMIC 第5巻【電子書籍限定描き下ろしマンガ付き】 (Celicaコミックス),5,2026-07-01
13129,蝶乃センパイは泳がせたい！　３巻 (ＦＵＺコミックス),3,2026-07-01
14830,心の声が聞こえる悪役令嬢は、今日も子犬殿下に翻弄される@COMIC 第5巻 (Celicaコミックス),5,2026-07-01
16558,ブラットテイマー/ジョーカー cheers! (H&C Comics iHertZシリーズ),,2026-07-01
19071,貰った三つの外れスキル、合わせたら最強でした2 (HJコミックス),,2026-07-01
19832,虎耳女になったとて　１巻 (ＦＵＺコミックス),1,2026-07-01
21211,東江秘書が言うことには (H&C Comics ihr HertZシリーズ),,2026-07-01
21894,【Amazon.co.jp 限定】ウォーターチャレンジとマンガでまるわかり！マインクラフト図鑑 (特典: オリジナルダイカットステッカー),,2026-07-01
23103,旧友と不倫してみた(2) (NOiPA COMiCS),2,2026-07-01
23759,バカ者たちに桃色を (H&C Comics CRAFTシリーズ),,2026-07-01
24052,【単話】誰もシナリオ通りに動いてくれないんですけど！　第14話 (B's-LOG COMICS),,2026-07-01
