タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
彩純ちゃんはレズ風俗に興味があります！: 8【イラスト特典付】 (百合姫コミックス),,2026-07-28,61,25,+36,59
小春と湊 わたしのパートナーは女の子: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28,1337,678,+659,49.3
陰キャギャルでもイキがりたい！: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28,1840,1011,+829,45.1
ぷにるはかわいいスライム（１１） (てんとう虫コミックススペシャル),11,2026-07-28,1612,1239,+373,23.1
Comic ZERO-SUM (コミック ゼロサム) 2026年9月号[雑誌],,2026-07-28,4751,1345,+3406,71.7
ふつつかな悪女ではございますが　～雛宮蝶鼠とりかえ伝～　連載版: 53 (ZERO-SUMコミックス),53,2026-07-28,6247,3627,+2620,41.9
社内探偵(72) (コミックなにとぞ),72,2026-07-28,12295,4867,+7428,60.4
運命の巻戻士　スペシャルキャラクターデータブック (てんとう虫コミックス),,2026-07-28,9299,7433,+1866,20.1
本日、貴方を愛するのをやめます: 王妃と不倫した貴方が悪いのですよ? (2) (レジーナCOMICS),2,2026-07-28,8179,8087,+92,1.1
余命宣告を受けたので私を顧みない家族と婚約者に執着するのをやめることにしました (2) (レジーナCOMICS),2,2026-07-28,13051,9516,+3535,27.1
悪役令嬢にオネエが転生したけど何も問題がない件 (2) (レジーナCOMICS),2,2026-07-28,9758,9920,-162,-1.7
転生荷運び人の異世界攻略法(話売り)　#30 (ヤングチャンピオン・コミックス),,2026-07-28,13111,10069,+3042,23.2
ハズレ嫁は最強の天才公爵様と再婚しました。 (1) (レジーナCOMICS),1,2026-07-28,13587,10788,+2799,20.6
ちびゴジラの逆襲 (2) (コロコロコミックススペシャル),2,2026-07-28,12002,11024,+978,8.1
りゅうとあまがみ 二 (MFコミックス),,2026-07-28,14545,13335,+1210,8.3
異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （30） (マンガBANGコミックス),30,2026-07-28,30667,15040,+15627,51
Duel Masters 蛍光少女-ネオンライトガール- (コロコロコミックススペシャル),,2026-07-28,28020,16412,+11608,41.4
くまのまーくん (1) (コロコロコミックス),1,2026-07-28,19106,17180,+1926,10.1
ダストランド(話売り)　#13 (ヤングチャンピオン・コミックス),,2026-07-28,60144,21129,+39015,64.9
売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#28 (ヤングチャンピオン・コミックス),,2026-07-28,38789,27369,+11420,29.4
推しを味方に付けたら最強だって知ってましたか? (1) (レジーナCOMICS),1,2026-07-28,33723,32373,+1350,4
家政魔導士の異世界生活～冒険中の家政婦業承ります！～　連載版: 65 (ZERO-SUMコミックス),65,2026-07-28,37294,35448,+1846,4.9
５６００歳の不老不死インフルエンサーいわく。(話売り)　#46～#49 (ヤングチャンピオン・コミックス),,2026-07-28,43742,48495,-4753,-10.9
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。 The Savior's Pride　【連載版】: 14 (ZERO-SUMコミックス),14,2026-07-28,50193,61378,-11185,-22.3
悪役令嬢の兄に転生しました(話売り)　#44 (ヤングチャンピオン・コミックス),,2026-07-28,259738,89316,+170422,65.6
悪役令嬢の父親に転生したので、妻と娘を溺愛します(話売り)　#14 (ヤングチャンピオン・コミックス),,2026-07-28,265002,266505,-1503,-0.6
