タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
俺の愛娘は悪役令嬢 3 (角川コミックス・エース),3,2026-08-26,1864,637,+1227,65.8
こっちむいて!みい子 (40) (ちゃおコミックス),40,2026-08-26,1633,803,+830,50.8
虎王の花嫁さん（１１） (フラワーコミックス),11,2026-08-26,3179,1562,+1617,50.9
Bite Maker AK (6) (フラワーコミックススペシャル),6,2026-08-26,3674,2301,+1373,37.4
生まれ変わってやり直させて（３） (フラワーコミックス),3,2026-08-26,4228,2713,+1515,35.8
魔法少女ダンデライオン（５） (フラワーコミックススペシャル),5,2026-08-26,5365,2901,+2464,45.9
青春ヘビーローテーション (20) (フラワーコミックス),20,2026-08-26,7600,4046,+3554,46.8
予想外の溺愛に、戸惑っています～ありのままの私でいいんですか？～アンソロジーコミック～ (異世界フラワーコミックス),,2026-08-26,12866,6250,+6616,51.4
愛蔵版 天は赤い河のほとり (3) (フラワーコミックススペシャル),3,2026-08-26,13951,12323,+1628,11.7
花妻と宵闇～没落令嬢は純血を捧ぐ～（２） (異世界フラワーコミックス),2,2026-08-26,34313,17921,+16392,47.8
夏の思い出　山本直樹ヴィンテージ・コレクション,,2026-08-26,27236,23667,+3569,13.1
ビューティーポップ Returns (1) (フラワーコミックス),1,2026-08-26,48327,29637,+18690,38.7
使い魔を探していたら伝説の英雄だとバレた件(7) (コミック エナブレイズ),7,2026-08-26,78339,62855,+15484,19.8
経験をスキルにする万能な能力を手に入れて、最強の探索者になりました～JKと一緒にダンジョン探索で成り上がる～【分冊版】（15） (マンガBANGコミックス),15,2026-08-26,89705,67486,+22219,24.8
