タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
魔術師クノンは見えている　８ (MFコミックス　アライブシリーズ),8,2026-06-23,39,2,+37,94.9
俺だけレベルアップな件 25 (piccomics),25,2026-06-23,182,4,+178,97.8
ダーウィン事変（１１） (アフタヌーンコミックス),11,2026-06-23,379,271,+108,28.5
ふたりソロキャンプ（２４） (イブニングコミックス),24,2026-06-23,473,283,+190,40.2
焼いてるふたり（２４） (モーニングコミックス),24,2026-06-23,724,358,+366,50.6
大正學生愛妻家（５） (コミックＤＡＹＳコミックス),5,2026-06-23,664,360,+304,45.8
夜鷹ふたたび（２） (モーニングコミックス),2,2026-06-23,862,396,+466,54.1
二階堂地獄ゴルフ（１３） (モーニングコミックス),13,2026-06-23,902,527,+375,41.6
ひとりでしにたい（１２） (モーニングコミックス),12,2026-06-23,1156,719,+437,37.8
もうひとつのピアノの森 整う音(3) (モーニングKC),3,2026-06-23,1345,751,+594,44.2
イクサガミ（７） (モーニングコミックス),7,2026-06-23,1881,946,+935,49.7
陸上自衛隊特務諜報機関　別班の犬（１０） (イブニングコミックス),10,2026-06-23,1809,970,+839,46.4
見るからに怪しい二人 5 (MFコミックス　フラッパーシリーズ),5,2026-06-23,2089,996,+1093,52.3
大正學生愛妻家(5)小冊子付き特装版 (プレミアムKC),5,2026-06-23,3512,2565,+947,27
ナースの取扱説明書（トリセツ）（２） (シリウスコミックス),2,2026-06-23,5979,3362,+2617,43.8
絶対幸せになりますわ！ ワケあり令嬢は一途に溺愛される アンソロジーコミック (PRIMO),,2026-06-23,14788,6378,+8410,56.9
君になれたら　1 (MFコミックス　フラッパーシリーズ),1,2026-06-23,12295,6535,+5760,46.8
ダストランド(話売り)　#11 (ヤングチャンピオン・コミックス),,2026-06-23,33097,11811,+21286,64.3
書くなる我ら（３） (モーニングコミックス),3,2026-06-23,20532,12686,+7846,38.2
法の番人は守る世界を選べない（３） (モーニングコミックス),3,2026-06-23,22273,13116,+9157,41.1
つきかけ姉妹(2) (モーニングKC),2,2026-06-23,22214,13754,+8460,38.1
ハメ頃ローティーン (TENMA COMICS LO),,2026-06-23,30286,14290,+15996,52.8
ミライライフライ（３） (アフタヌーンコミックス),3,2026-06-23,22232,14306,+7926,35.7
SとX セラピスト霜鳥壱人の診察室(1) (モーニング KC),1,2026-06-23,18104,14637,+3467,19.2
宙飛ぶバイオリン（４） (モーニングコミックス),4,2026-06-23,23462,15495,+7967,34
家臣に恵まれた転生貴族の幸せな日常 1 (MFC),1,2026-06-23,20116,17108,+3008,15
白い結婚から三年。旦那様、私と離縁してください(話売り)　#23 (ヤングチャンピオン・コミックス),,2026-06-23,28399,18651,+9748,34.3
スノードームタウン(2) (モーニングKC),2,2026-06-23,24702,19389,+5313,21.5
木洩れ日のひと 6 (6) (女性自身COMICS),6,2026-06-23,25416,21409,+4007,15.8
赤と白とロイヤルブルー ４－２ (二見コミックス),,2026-06-23,28716,30093,-1377,-4.8
売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#27 (ヤングチャンピオン・コミックス),,2026-06-23,39302,34334,+4968,12.6
思ってた感じにならなかった男の娘 (MFC),,2026-06-23,43104,36688,+6416,14.9
５６００歳の不老不死インフルエンサーいわく。(話売り)　#42～#45 (ヤングチャンピオン・コミックス),,2026-06-23,48167,39040,+9127,18.9
無能の花嫁は冷酷軍人に愛し尽くされる～帝都あやかし恋夜伽～ １ (プティルファンタジーコミックス),1,2026-06-23,52235,49135,+3100,5.9
悪役令嬢の父親に転生したので、妻と娘を溺愛します(話売り)　#13 (ヤングチャンピオン・コミックス),,2026-06-23,237333,95117,+142216,59.9
