順位,タイトル,巻数,発売日
61,彩純ちゃんはレズ風俗に興味があります！: 8【イラスト特典付】 (百合姫コミックス),,2026-07-28
1337,小春と湊 わたしのパートナーは女の子: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28
1612,ぷにるはかわいいスライム（１１） (てんとう虫コミックススペシャル),11,2026-07-28
1840,陰キャギャルでもイキがりたい！: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28
4751,Comic ZERO-SUM (コミック ゼロサム) 2026年9月号[雑誌],,2026-07-28
6247,ふつつかな悪女ではございますが　～雛宮蝶鼠とりかえ伝～　連載版: 53 (ZERO-SUMコミックス),53,2026-07-28
8179,本日、貴方を愛するのをやめます: 王妃と不倫した貴方が悪いのですよ? (2) (レジーナCOMICS),2,2026-07-28
9299,運命の巻戻士　スペシャルキャラクターデータブック (てんとう虫コミックス),,2026-07-28
9758,悪役令嬢にオネエが転生したけど何も問題がない件 (2) (レジーナCOMICS),2,2026-07-28
12002,ちびゴジラの逆襲 (2) (コロコロコミックススペシャル),2,2026-07-28
12295,社内探偵(72) (コミックなにとぞ),72,2026-07-28
13051,余命宣告を受けたので私を顧みない家族と婚約者に執着するのをやめることにしました (2) (レジーナCOMICS),2,2026-07-28
13111,転生荷運び人の異世界攻略法(話売り)　#30 (ヤングチャンピオン・コミックス),,2026-07-28
13587,ハズレ嫁は最強の天才公爵様と再婚しました。 (1) (レジーナCOMICS),1,2026-07-28
14545,りゅうとあまがみ 二 (MFコミックス),,2026-07-28
19106,くまのまーくん (1) (コロコロコミックス),1,2026-07-28
28020,Duel Masters 蛍光少女-ネオンライトガール- (コロコロコミックススペシャル),,2026-07-28
30667,異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （30） (マンガBANGコミックス),30,2026-07-28
33723,推しを味方に付けたら最強だって知ってましたか? (1) (レジーナCOMICS),1,2026-07-28
37294,家政魔導士の異世界生活～冒険中の家政婦業承ります！～　連載版: 65 (ZERO-SUMコミックス),65,2026-07-28
38789,売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#28 (ヤングチャンピオン・コミックス),,2026-07-28
43742,５６００歳の不老不死インフルエンサーいわく。(話売り)　#46～#49 (ヤングチャンピオン・コミックス),,2026-07-28
50193,悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。 The Savior's Pride　【連載版】: 14 (ZERO-SUMコミックス),14,2026-07-28
60144,ダストランド(話売り)　#13 (ヤングチャンピオン・コミックス),,2026-07-28
259738,悪役令嬢の兄に転生しました(話売り)　#44 (ヤングチャンピオン・コミックス),,2026-07-28
265002,悪役令嬢の父親に転生したので、妻と娘を溺愛します(話売り)　#14 (ヤングチャンピオン・コミックス),,2026-07-28
—,楠木さんは高校デビューに失敗している: 8【イラスト特典付】 (comic POOL),,2026-07-28
—,片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～(話売り)　#47 (ヤングチャンピオン・コミックス),,2026-07-28
