順位,タイトル,巻数,発売日
10403,真綿の檻【マイクロ】 健太郎編1 (フラワーコミックスα),1,2026-09-05
12401,真綿の檻【マイクロ】 健太郎編2 (フラワーコミックスα),2,2026-09-05
22375,極と蕾～極道と恋を知らない人妻と～【マイクロ】（３１） (フラワーコミックスα),31,2026-09-05
28961,人妻物語（フルカラー）11 (コミックダイス),11,2026-09-05
38106,その男、沼につき。【マイクロ】（２５） (フラワーコミックスα),25,2026-09-05
54495,結婚しましょう、恋する前に【マイクロ】（４１） (フラワーコミックスα),41,2026-09-05
59842,夜ノ井月彦の幸せな地獄【マイクロ】（３８） (フラワーコミックスα),38,2026-09-05
65526,男をやめてみた～癌になったので女装して恋をすることにしました～82 (エンペラーズコミックス),82,2026-09-05
72961,レス―ヘタくそなのはお互いさまです。―【マイクロ】（２７） (フラワーコミックスα),27,2026-09-05
179419,婚約破棄23回の冷血貴公子は田舎のポンコツ令嬢にふりまわされる【電子単行本版】14巻 (TUGIKURU COMICS),14,2026-09-05
186941,三食昼寝付き生活を約束してください、公爵様【電子単行本版】21巻 (TUGIKURU COMICS),21,2026-09-05
—,愛してるって、言いたい(17) 愛してるって、言いたい【合冊版】 (フレイヤコミックス),17,2026-09-05
