順位,タイトル,巻数,発売日
6130,耳から触れる熱【甘えたい獣 ドラマCD収録小冊子】 甘えたい獣【コミックス版】 (Tulle Comics),,2026-09-21
20679,俺様御曹司と契約結婚 執着愛強めな旦那様に困ってます！？ 2【電子限定おまけマンガ付き】 (YLC),,2026-09-21
28421,エゴS男優躾けらREC 事務所の元No.1にカラダから理解らせられてます teach.5 (デイジーコミックス),5,2026-09-21
80374,ハーレム相続【単話】（３２） (ビッグコミックス),32,2026-09-21
