タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
らーめん再遊記（１５） (ビッグコミックス),15,2026-07-30,14,11,+3,21.4
ROPPEN－六篇－（１２） (ビッグコミックス),12,2026-07-30,172,109,+63,36.6
黄昏流星群 (80) (ビッグコミックス),80,2026-07-30,238,216,+22,9.2
パーフェクトグリッター（５） (サイコミ×裏少年サンデーコミックス),5,2026-07-30,439,309,+130,29.6
日陰者でもやり直していいですか？（６） (サイコミ×裏少年サンデーコミックス),6,2026-07-30,566,394,+172,30.4
胚培養士（はいばいようし）ミズイロ～不妊治療のスペシャリスト～（１１） (ビッグコミックス),11,2026-07-30,543,517,+26,4.8
なおりはしないが、ましになる（５） (ビッグコミックススペシャル),5,2026-07-30,1168,796,+372,31.8
放課後H研究会（９） (サイコミ×裏少年サンデーコミックス),9,2026-07-30,1864,998,+866,46.5
女神の標的 (9) (ビッグコミックス),9,2026-07-30,1471,1334,+137,9.3
踊る千年家族(9) (ヤングキングコミックス),9,2026-07-30,2007,1384,+623,31
追放された男爵子息の華麗なる領地改革 クズ親父に無能と罵られたけど、実は世界最強の龍魔法使いです(1) (モンスターコミックス),1,2026-07-30,3989,2311,+1678,42.1
諸星大二郎短編集成 5 流砂 (ビッグコミックススペシャル),,2026-07-30,3747,2543,+1204,32.1
ウルトラマン： アロング・ケイム・ア・スパイダーマン（４） (ビッグコミックス),4,2026-07-30,3528,2828,+700,19.8
皇都陰陽学校　傷モノの花嫁　外伝　分冊版（３） (シリウスコミックス),3,2026-07-30,5077,2849,+2228,43.9
戦闘メカ ザブングル アナザー・ゲイル (9) (ビッグコミックス),9,2026-07-30,3842,3399,+443,11.5
コンクリートの船 (3) (ビッグコミックス),3,2026-07-30,4883,3767,+1116,22.9
新クレヨンしんちゃん(16) (アクションコミックス),16,2026-07-30,6542,4437,+2105,32.2
つかめ！ ダマンファミリー １,1,2026-07-30,6206,5800,+406,6.5
コミックライド2026年8月号,,2026-07-30,18097,7232,+10865,60
地味異世界～魔法ナシで化物の大群と戦えってブラックすぎません？～（３） (サイコミ×裏少年サンデーコミックス),3,2026-07-30,12650,7467,+5183,41
お前とだけは絶対に【単行本版】（電子限定特典マンガ付き） (アメイロ),,2026-07-30,37730,8471,+29259,77.5
キシモジン（２） (ビッグコミックス),2,2026-07-30,10978,9566,+1412,12.9
ファミリー・ショー（６） (サイコミ×裏少年サンデーコミックス),6,2026-07-30,12693,11111,+1582,12.5
救い、巣喰われ 第51話【単話版】 救い、巣喰われ【単話版】 (コミックRouge),,2026-07-30,10377,11621,-1244,-12
映画クレヨンしんちゃん　奇々怪々！オラの妖怪バケ～ション (アクションコミックス),,2026-07-30,23381,11693,+11688,50
ロストエンド（９） (サイコミ×裏少年サンデーコミックス),9,2026-07-30,28457,13089,+15368,54
HONKOWA霊障ファイル 『守護する先祖・祟る先祖』特集 (ASスペシャル),,2026-07-30,13075,13667,-592,-4.5
賭けからはじまる最後の初恋【単話版】 第12話 賭けからはじまるサヨナラの恋【単話版】 (コミックELMO),,2026-07-30,27019,14113,+12906,47.8
僕のかわいい鬼が笑えば【単行本版】（電子限定特典マンガ付き） (アメイロ),,2026-07-30,42854,16399,+26455,61.7
傷モノの花嫁 小冊子まとめ本(1) (講談社キャラクターズA),1,2026-07-30,17013,16660,+353,2.1
【分冊版】転生しまして、現在は侍女でございます。 第76話(アリアンローズコミックス),,2026-07-30,72038,18093,+53945,74.9
優しくイジめて溶かして混ぜて@甘やかし (gateauコミックス),,2026-07-30,47051,20830,+26221,55.7
日陰者でもやり直していいですか? 6 (サイコミ),6,2026-07-30,23928,20993,+2935,12.3
ヤクザはサウナに入れますか？（４） (サイコミ×裏少年サンデーコミックス),4,2026-07-30,29821,21487,+8334,27.9
踊る千年家族 9 (9巻) (YKコミックス),9,2026-07-30,20746,21731,-985,-4.7
お嬢様の捕まえ方（３） (サイコミ×裏少年サンデーコミックス),3,2026-07-30,25534,22382,+3152,12.3
すきだから、だよ（１３） (サイコミ×裏少年サンデーコミックス),13,2026-07-30,30946,27666,+3280,10.6
異世界転生したら、推しの敵役のメイドになりました (4) (weavinコミックス),4,2026-07-30,39847,33418,+6429,16.1
【分冊版】婚約破棄の次は偽装婚約。さて、その次は……。 第42話(アリアンローズコミックス),,2026-07-30,140994,34161,+106833,75.8
【分冊版】転生王女は今日も旗を叩き折る 第86話(アリアンローズコミックス),,2026-07-30,64553,34309,+30244,46.9
【分冊版】リーフェの祝福 ～無属性魔法しか使えない落ちこぼれとしてほっといてください～ 第21話(アリアンローズコミックス),,2026-07-30,167299,34700,+132599,79.3
ジャスティス・サーガ　―我の創りし理想の世界で幼女無双―（２） (サイコミ×裏少年サンデーコミックス),2,2026-07-30,57865,39950,+17915,31
スパダリ花嫁のプリンスメーカー ~虐げられた呪われ王子に触れるのは私だけ…よしよしして育てたら一途に溺愛されました~(4) (KCx),4,2026-07-30,33338,43475,-10137,-30.4
レベル1から始まる召喚無双【単話版】第45話 (コミックライド),,2026-07-30,33784,44039,-10255,-30.4
運命に触れて愛を知る3 (シャルルコミックス),,2026-07-30,178965,55035,+123930,69.2
廃棄された俺と追放された悪役令嬢（分冊版） 【第19話】 (コミックラクウ),,2026-07-30,185697,55157,+130540,70.3
異世界転生したら、推しの敵役のメイドになりました 4 (weavinコミックス),4,2026-07-30,131556,74084,+57472,43.7
かわいい君と今日もデキない 1 (サイコミ),1,2026-07-30,121798,132204,-10406,-8.5
