順位,タイトル,巻数,発売日
21290,みいちゃんと山田さん　分冊版（３５） (マガジンポケットコミックス),35,2026-07-12
82973,呪物少女─イジメには死返しを─第22話 (サイコワコミック),,2026-07-12
