タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
侯爵嫡男好色物語 ～異世界ハーレム英雄戦記～ 10巻 (マッグガーデンコミックスBeat'sシリーズ),10,2026-07-14,422,168,+254,60.2
瓜を破る　１４巻 (ラバココミックス),14,2026-07-14,1309,501,+808,61.7
ガベージブレイブ 異世界に召喚され捨てられた勇者の復讐物語 8巻 (マッグガーデンコミックスBeat'sシリーズ),8,2026-07-14,3517,1610,+1907,54.2
推し(嘘)の筆頭魔術師様が「俺たち、両思いだったんだね」と溺愛してくるんですが！？3 (ブリーゼコミックス),,2026-07-14,2915,2463,+452,15.5
CMYK　鮫田和王は厨二病が治せない VOLUME7 (MANGAバル コミックス),,2026-07-14,7103,5000,+2103,29.6
お気楽令嬢は、婚約破棄にほくそ笑む3 (ブリーゼコミックス),,2026-07-14,6656,6119,+537,8.1
悪役令嬢と鬼畜騎士　連載版: 27 (ZERO-SUMコミックス),27,2026-07-14,9640,7704,+1936,20.1
私は選ばれない　【連載版】: 16 (ZERO-SUMコミックス),16,2026-07-14,16500,8395,+8105,49.1
破滅の聖女は運命の夫の溺愛から逃れたい【単行本版】　４巻 (ラバココミックス),4,2026-07-14,11417,10234,+1183,10.4
俺以外、全員無職。　４巻 (トレイルコミックス),4,2026-07-14,23600,11705,+11895,50.4
貞操逆転世界で成り上がりを目指して男騎士になった僕は、ヤリモク女たちに身体を狙われまくる 1 (マッグガーデンコミック Beat'sシリーズ),1,2026-07-14,21869,12170,+9699,44.4
ドカベン　14巻 (SAN-EI COMICS SC 014),14,2026-07-14,13040,13289,-249,-1.9
ドカベン　13巻 (SAN-EI COMICS SC 013),13,2026-07-14,13202,13405,-203,-1.5
旅はオールパス　3 (MANGAバル コミックス),3,2026-07-14,16407,14571,+1836,11.2
捨てられ男爵令嬢は黒騎士様のお気に入り　連載版: 42 (ZERO-SUMコミックス),42,2026-07-14,25554,15693,+9861,38.6
最北領の怪物　～借金地獄から始まる富国強兵～THE COMIC 1巻 (マッグガーデンコミックスBeat'sシリーズ),1,2026-07-14,31767,17947,+13820,43.5
王子様に溺愛されて困ってます～転生ヒロイン、乙女ゲーム奮闘記～　連載版: 47 (ZERO-SUMコミックス),47,2026-07-14,46609,19048,+27561,59.1
結液感戦　２ (MANGAバル コミックス),2,2026-07-14,39316,25567,+13749,35
続・その警察官、ときどき野獣！ 3 (オークラコミックス ミンティコミックス),3,2026-07-14,38687,29562,+9125,23.6
黒兎伯爵の溺愛求婚　【連載版】: 8 (ZERO-SUMコミックス),8,2026-07-14,36203,34885,+1318,3.6
異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （28） (マンガBANGコミックス),28,2026-07-14,146058,37445,+108613,74.4
王太子妃になんてなりたくない!! 婚約者編　【連載版】: 28 (ZERO-SUMコミックス),28,2026-07-14,45099,39709,+5390,12
歴史裁判　３　～その死罪、覆すなら賀倍まで～ (芳文社コミックス),3,2026-07-14,81382,40585,+40797,50.1
ダストランド(話売り)　#12 (ヤングチャンピオン・コミックス),,2026-07-14,123410,56988,+66422,53.8
レイチェル・ジーンは踊らない　【連載版】: 15 (ZERO-SUMコミックス),15,2026-07-14,76723,58444,+18279,23.8
悪役令嬢に、助けてくれるヒーローなんていません 23 (インカローズコミックス),23,2026-07-14,91587,107036,-15449,-16.9
透明な鱗の人魚の味は【分冊版】（10） (マンガBANGコミックス),10,2026-07-14,144625,147572,-2947,-2
