タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
異世界食堂 洋食のねこや（１０） (角川コミックス・エース),10,2026-09-25,140,42,+98,70
奴隷からの期待と評価のせいで搾取できないのだが　（５） (角川コミックス・エース),5,2026-09-25,148,50,+98,66.2
メカニカル バディ ユニバース 1.0 (7) (デジタル版ヤングガンガンコミックス),7,2026-09-25,528,117,+411,77.8
異世界H英雄伝 ～美少女戦士たちは最強軍師の無茶なお願いに逆らえない～　4 (ヤングチャンピオン・コミックス),4,2026-09-25,612,127,+485,79.2
太陽よりも眩しい星 15 (マーガレットコミックス),15,2026-09-25,510,145,+365,71.6
悪役一家の奥方、死に戻りして心を入れ替える。　（６） (角川コミックス・エース),6,2026-09-25,986,169,+817,82.9
陰の実力者になりたくて！マスターオブガーデン～七陰列伝～（４） (角川コミックス・エース),4,2026-09-25,475,187,+288,60.6
義妹生活　（７） (角川コミックス・エース),7,2026-09-25,790,205,+585,74.1
転生錬金少女のスローライフ5 (角川コミックス・エース),5,2026-09-25,1176,206,+970,82.5
政略より愛を選んだ結婚。　後悔は十年後にやってきた。２ (レジーナCOMICS),2,2026-09-25,1818,262,+1556,85.6
３５歳の選択～異世界転生を選んだ場合～（ノヴァコミックス）９ 35歳の選択～異世界転生を選んだ場合～,,2026-09-25,1278,333,+945,73.9
異世界チート魔術師(21) (角川コミックス・エース),21,2026-09-25,1279,359,+920,71.9
カレシがいるのに【電子単行本】　14 (ヤングチャンピオン・コミックス),14,2026-09-25,1570,445,+1125,71.7
さほこクエスト～陰キャ女子、紳士向け同人RPG世界で勇者になる～　4 (ヤングチャンピオン・コミックス),4,2026-09-25,946,447,+499,52.7
日に流れて橋に行く 13 (マーガレットコミックスDIGITAL),13,2026-09-25,817,469,+348,42.6
キスは捜査のあとで ファイナル【単話売】(1) (arca comics),1,2026-09-25,13898,517,+13381,96.3
恋をするならひれ伏して（２）【特典付】 (onBLUE comics),2,2026-09-25,1451,705,+746,51.4
泥船貴族のご令嬢～幼い弟を息子と偽装し、隣国でしぶとく生き残る！～（4） (角川コミックス・エース),4,2026-09-25,1938,754,+1184,61.1
名もなき魔物と二人の騎士～そして婚約者は困惑する～【電子限定特典おまけページ付き】（３） (異世界フラワーコミックス),3,2026-09-25,2105,778,+1327,63
はじめてのギャル(22) (角川コミックス・エース),22,2026-09-25,1619,783,+836,51.6
機動戦士ガンダムF90クラスター（５） (角川コミックス・エース),5,2026-09-25,1367,894,+473,34.6
追放された付与魔法使いの成り上がり～勇者パーティを陰から支えていたと知らなかったので戻って来い？【剣聖】と【賢者】の美少女たちに囲まれて幸せなので戻りません～（ノヴァコミックス）６,6,2026-09-25,2727,904,+1823,66.9
ビッグコミック 2026年19号（2026年9月25日発売） [雑誌],,2026-09-25,9974,1070,+8904,89.3
キミと越えて恋になる 12 (マーガレットコミックス),12,2026-09-25,3369,1441,+1928,57.2
父さんは【剣聖】、母さんは【剣神】、僕は【おち〇ぽチャンバラマスター】　1 (ヤングチャンピオン・コミックス),1,2026-09-25,5423,1459,+3964,73.1
ハレルヤベイビー 9 (集英社君恋コミックスDIGITAL),9,2026-09-25,3267,1510,+1757,53.8
ある日突然、ギャルの許嫁ができた（4） (角川コミックス・エース),4,2026-09-25,3085,1532,+1553,50.3
しっぽ街のコオ先生 21 (オフィスユーコミックス),21,2026-09-25,2224,1560,+664,29.9
愛でて春~呪われた公爵騎士様は溺愛する~ (4) (フラワーコミックス),4,2026-09-25,5198,1654,+3544,68.2
ハンターギルドの裏クエスト～SSSランクのわたしならエッチなクエストも余裕（？）です～　1 (ヤングチャンピオン・コミックス),1,2026-09-25,6114,1683,+4431,72.5
ここからはオトナの時間です。 6 (集英社ガールズコミックス),6,2026-09-25,5874,1695,+4179,71.1
うちの犬が子ネコ拾いました。 (第9巻) (フラワーコミックス〔スペシャル〕),9,2026-09-25,2074,1795,+279,13.5
処刑される当て馬王子、私が幸せにいたします！２ (レジーナCOMICS),2,2026-09-25,6236,2134,+4102,65.8
これは経費で落ちません！ ～経理部の森若さん～ 17 (マーガレットコミックスDIGITAL),17,2026-09-25,4408,2197,+2211,50.2
雷帝と呼ばれた最強冒険者、魔術学院に入学して一切の遠慮なく無双する（ノヴァコミックス）８,8,2026-09-25,6666,2228,+4438,66.6
ゴミ箱ぐらしの聖女様２ (ノヴァコミックス),2,2026-09-25,9408,2394,+7014,74.6
復讐姫ローラ～お姉様を生贄にしたこの国はもう要らない～【電子単行本】　6 (少年チャンピオン・コミックス),6,2026-09-25,5480,2518,+2962,54.1
種村有菜きらめきシールブック (マルチメディア),,2026-09-25,2435,2609,-174,-7.1
ガイシューイッショク！【単話】（５２） (ビッグコミックス),52,2026-09-25,4886,2643,+2243,45.9
愛されない花嫁は初夜を一人で過ごす３ (レジーナCOMICS),3,2026-09-25,5261,2790,+2471,47
スノードロップ～あなたの死を望みます～ 2巻 (デジタル版ヤングガンガンコミックス),2,2026-09-25,7992,3045,+4947,61.9
全自動攻撃【オート】スキルで俺だけ超速レベルアップ～女神が導く怠惰な転生者のサクッと異世界攻略～3巻 (グラストCOMICS),3,2026-09-25,7603,3081,+4522,59.5
訓練所のサンドバッグおじさん、実は最強でした ～クビになった途端、出世した元弟子たちに迫られるのだが～　2 (少年チャンピオン・コミックス),2,2026-09-25,7726,3131,+4595,59.5
200m先の熱 17 (マーガレットコミックス),17,2026-09-25,3505,3162,+343,9.8
蜜と劇薬 (5) (フラワーコミックス),5,2026-09-25,6391,3302,+3089,48.3
祝言の籠 (arca comics),,2026-09-25,6229,3352,+2877,46.2
狼への嫁入り～異種婚姻譚～ 番外編 苦悶の習作 (onBLUE comics),,2026-09-25,11434,4124,+7310,63.9
婚約破棄された貧乏伯爵令嬢ですが、憧れの冷徹王弟に溺愛されています コミック版 （3） 【かきおろし漫画付】 (BKコミックスf),3,2026-09-25,20203,4178,+16025,79.3
Our Afterglow【電子限定描き下ろし付き】 (ドットブルームコミックスDIGITAL),3,2026-09-25,13371,4189,+9182,68.7
最強魔術師の溺愛才女 ～元パートナーと復縁したら、二度と離してもらえなくなりました～【コミックス版】: 2【イラスト特典付】 (echo),,2026-09-25,9239,4212,+5027,54.4
旦那様は大変忙しいお方なのです２ (レジーナCOMICS),2,2026-09-25,9470,4345,+5125,54.1
STAYGOLD 番外編 (onBLUE comics),,2026-09-25,10258,4510,+5748,56
マイリトルインフェルノ 番外編 (onBLUE comics),,2026-09-25,10585,4795,+5790,54.7
好きっていえなくて死ぬ！（４） (フラワーコミックス),4,2026-09-25,9383,4962,+4421,47.1
隣の元カレくん 7 (マーガレットコミックス),7,2026-09-25,4929,5064,-135,-2.7
【悲報】コミュ力０オタク少女、ドラゴンをワンパンで沈めて有名配信者を助けたら不本意バズが止まらない２ (ノヴァコミックス),2,2026-09-25,23308,5132,+18176,78
罠にかかったヴィランくん 1 (マーガレットコミックス),1,2026-09-25,12222,5172,+7050,57.7
悠優の追放魔法使いと幼なじみな森の女神様。～王都では最弱認定の緑魔法ですが、故郷の農村に帰ると万能でした～【電子単行本】　6 (ヤングチャンピオン・コミックス),6,2026-09-25,16710,5290,+11420,68.3
文豪ストレイドッグス STORM BRINGER(2) (角川コミックス・エース),2,2026-09-25,12697,5676,+7021,55.3
