タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
BLUE GIANT MOMENTUM（８） (ビッグコミックススペシャル),8,2026-06-30,15,3,+12,80
アオアシ ブラザーフット（２） (ビッグコミックス),2,2026-06-30,32,19,+13,40.6
ありす、宇宙までも（７） (ビッグコミックス),7,2026-06-30,68,34,+34,50
劇光仮面（９） (ビッグコミックススペシャル),9,2026-06-30,122,48,+74,60.7
フェルマーの料理（８） (月刊少年マガジンコミックス),8,2026-06-30,370,64,+306,82.7
チラチラ（７） (ビッグコミックス),7,2026-06-30,400,97,+303,75.8
Landreaall: 45【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30,368,108,+260,70.7
神作家・紫式部のありえない日々: 8【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30,320,111,+209,65.3
梟と番様　2巻 (ZERO-SUMコミックス),2,2026-06-30,459,185,+274,59.7
永世乙女の戦い方（１５） (ビッグコミックス),15,2026-06-30,793,289,+504,63.6
フールナイト（１３） (ビッグコミックス),13,2026-06-30,513,318,+195,38
夢なし先生の進路指導（８） (ビッグコミックス),8,2026-06-30,461,367,+94,20.4
公爵様、悪妻の私はもう放っておいてください　3巻 (ZERO-SUMコミックス),3,2026-06-30,2153,843,+1310,60.8
Landreaall 45巻 特装版 (ZERO-SUMコミックス),45,2026-06-30,1204,897,+307,25.5
めしばな刑事タチバナ(60) ジュースの素性 (トクマコミックス),60,2026-06-30,2198,1231,+967,44
神田ごくら町職人ばなし　二 (トーチコミックス),,2026-06-30,1942,1275,+667,34.3
植物病理学は明日の君を願う（８） (ビッグコミックス),8,2026-06-30,1927,1303,+624,32.4
狐の窓～ゆるっと怪異～４ (コミックエッセイ),,2026-06-30,2566,1609,+957,37.3
味いちもんめ 継ぎ味（１６） (ビッグコミックス),16,2026-06-30,1967,1612,+355,18
【新装版】今どきの若いモンは（３４） (サイコミ×裏少年サンデーコミックス),34,2026-06-30,2215,1734,+481,21.7
うっちゃれ五所瓦 粘り腰編（１０） (ビッグコミックス),10,2026-06-30,2422,1819,+603,24.9
バブル・ザムライ (8) (ビッグコミックス),8,2026-06-30,2943,2111,+832,28.3
ルーチェと白の契約: 8【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30,2897,2167,+730,25.2
悪役令嬢みたいに断罪されそうだったけど、全力で愛されてます! 不幸な運命に「ざまぁ」しますわ! アンソロジーコミック(10) (KCx),10,2026-06-30,12272,2199,+10073,82.1
虐げられ乙女の幸せな嫁入り アンソロジーコミック: 7 (ZERO-SUMコミックス),7,2026-06-30,4120,2604,+1516,36.8
Deep3（１５） (ビッグコミックス),15,2026-06-30,3784,2690,+1094,28.9
魔界の議場（３） (ビッグコミックス),3,2026-06-30,3857,2953,+904,23.4
皇帝陛下の専属司書姫: 3【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30,4346,3349,+997,22.9
【分冊版】誰かこの状況を説明してください！ ～契約から始まるウェディング～ 第82話(アリアンローズコミックス),,2026-06-30,16108,4920,+11188,69.5
皇都陰陽学校　傷モノの花嫁　外伝　分冊版（２） (シリウスコミックス),2,2026-06-30,11191,5235,+5956,53.2
不貞のオリンピア(1) (MeDu COMICS),1,2026-06-30,12149,5766,+6383,52.5
