タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
異世界NTR～親友のオンナを最強スキルで堕とす方法～【電子単行本】　9 (ヤングチャンピオン・コミックス),9,2026-07-17,120,37,+83,69.2
終末のワルキューレ 28巻【特典イラスト付き】 (ゼノンコミックス),28,2026-07-17,256,70,+186,72.7
のあ先輩はともだち。 11 (ヤングジャンプコミックスDIGITAL),11,2026-07-17,349,114,+235,67.3
寝取り魔法使いの冒険　8 (チャンピオンREDコミックス),8,2026-07-17,257,127,+130,50.6
ダイヤモンドの功罪 10 (ヤングジャンプコミックスDIGITAL),10,2026-07-17,367,130,+237,64.6
ジャンケットバンク 22 (ヤングジャンプコミックスDIGITAL),22,2026-07-17,661,199,+462,69.9
BUNGO-unreal- 2［BUNGO―ブンゴ― 43］ (ヤングジャンプコミックスDIGITAL),,2026-07-17,762,233,+529,69.4
首都高SPL ゼロ(3) (ヤングマガジンKC),3,2026-07-17,275,244,+31,11.3
お嬢様系底辺ダンジョン配信者、迷惑系をボコったらバズって伝説になってますわ！？（３） (サンデーGXコミックス),3,2026-07-17,919,271,+648,70.5
絢爛たるグランドセーヌ 30 (30) (チャンピオンREDコミックス),30,2026-07-17,547,277,+270,49.4
獣王と薬草（９） (裏少年サンデーコミックス),9,2026-07-17,510,279,+231,45.3
巻き添えで異世界に喚び出されたので、世界観無視して和菓子作ります（４） (マンガワン女子部),4,2026-07-17,603,287,+316,52.4
君のことが大大大大大好きな100人の彼女 26 (ヤングジャンプコミックスDIGITAL),26,2026-07-17,911,296,+615,67.5
TSUYOSHI 誰も勝てない、アイツには（３１） (サイコミ×裏少年サンデーコミックス),31,2026-07-17,1139,325,+814,71.5
シャドーハウス 22 (ヤングジャンプコミックス),22,2026-07-17,920,402,+518,56.3
性食鬼　23 (ヤングチャンピオン烈コミックス),23,2026-07-17,815,412,+403,49.4
センセ。　17 (ヤングチャンピオン・コミックス),17,2026-07-17,958,445,+513,53.5
角栄に花束を 17 (17) (ヤングチャンピオンコミックス),17,2026-07-17,715,447,+268,37.5
来世ではちゃんとします 16 (ヤングジャンプコミックスDIGITAL),16,2026-07-17,1294,494,+800,61.8
