タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
The JOJOLands 9 (ジャンプコミックス),9,2026-09-17,8,4,+4,50
BUNGO-unreal- 3［BUNGO―ブンゴ― 44］ (ヤングジャンプコミックスDIGITAL),,2026-09-17,187,19,+168,89.8
ニンジャスレイヤー キョート・ヘル・オン・アース　20 (チャンピオンREDコミックス),20,2026-09-17,72,21,+51,70.8
魔力枯れのダークエルフ(2) (ヤンマガKCスペシャル),2,2026-09-17,152,28,+124,81.6
ドッグスレッド 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17,202,38,+164,81.2
超人X 17 (ヤングジャンプコミックスDIGITAL),17,2026-09-17,203,58,+145,71.4
君のことが大大大大大好きな100人の彼女 27 (ヤングジャンプコミックスDIGITAL),27,2026-09-17,365,75,+290,79.5
ドラゴンの胃でおやすみ（３） (ヤングマガジンコミックス),3,2026-09-17,181,86,+95,52.5
はるかリセット　26 (チャンピオンREDコミックス),26,2026-09-17,188,97,+91,48.4
ばくおん!! 20 (20) (ヤングチャンピオン烈コミックス),20,2026-09-17,197,111,+86,43.7
氷結令嬢さまをフォローしたら、メチャメチャ溺愛されてしまった件＠comic（２） (裏少年サンデーコミックス),2,2026-09-17,205,122,+83,40.5
復讐を希う最強勇者は、闇の力で殲滅無双する 19 (ヤングジャンプコミックスDIGITAL),19,2026-09-17,440,139,+301,68.4
今朝も揺られてます　5 (少年チャンピオン・コミックス),5,2026-09-17,214,139,+75,35
あなた達それでも先生ですかっ！ 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17,728,157,+571,78.4
星屑の王子様（１１） (マンガワン女子部),11,2026-09-17,244,198,+46,18.9
DEAD Tube　～デッドチューブ～　29 (チャンピオンREDコミックス),29,2026-09-17,350,200,+150,42.9
ジャジャ (40) (サンデーGXコミックス),40,2026-09-17,233,208,+25,10.7
バツハレ 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17,829,210,+619,74.7
迷子になっていた幼女を助けたら、お隣に住む美少女留学生が家に遊びに来るようになった件について 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17,902,216,+686,76.1
転生ゴブリンだけど質問ある？ 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17,2142,236,+1906,89
Dr.Eggs ドクターエッグス 15 (ヤングジャンプコミックス),15,2026-09-17,624,258,+366,58.7
未亡人アンネの閨の手ほどき（５） (Pomme Comics),5,2026-09-17,425,274,+151,35.5
救世主《メシア》～異世界を救った元勇者が魔物のあふれる現実世界を無双する～ 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17,1722,283,+1439,83.6
TOUGH 第二章 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17,752,379,+373,49.6
生意気なギャル姉を解らせる話 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17,2044,381,+1663,81.4
チカーノKEI～米国極悪刑務所を生き抜いた日本人～　20 (ヤングチャンピオン・コミックス),20,2026-09-17,734,412,+322,43.9
ばくおん!! ~天野恩紗のニコイチ繁盛記~ 4 (4) (ヤングチャンピオン烈コミックス),4,2026-09-17,626,465,+161,25.7
商人令嬢アニエス 辺境に追放された悪役令嬢は商才を発揮し成り上がる 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17,2301,521,+1780,77.4
真面目メガネくんをオトしたい 5 (フルールコミックス),5,2026-09-17,1398,524,+874,62.5
バブル ~チカーノKEI歌舞伎町血闘編~ 11 (11) (ヤングチャンピオンコミックス),11,2026-09-17,1294,543,+751,58
俺だけ不遇スキルの異世界召喚叛逆記～最弱スキル【吸収】が全てを飲み込むまで～ 18 (ヤングジャンプコミックスDIGITAL),18,2026-09-17,4329,547,+3782,87.4
静かなるドン　― もうひとつの最終章 ―（９）,9,2026-09-17,1246,549,+697,55.9
ガス灯野良犬探偵団 12 (ヤングジャンプコミックスDIGITAL),12,2026-09-17,2572,564,+2008,78.1
雪と墨（１０） (ヤングマガジンコミックス),10,2026-09-17,824,579,+245,29.7
レッドムーダン 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17,1864,597,+1267,68
私刑執行人～殺人弁護士とテミスの天秤～【電子単行本】　9 (ヤングチャンピオン・コミックス),9,2026-09-17,856,686,+170,19.9
裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17,2601,751,+1850,71.1
うちはおっぺけ 3姉妹といっしょ (11) (SUKUPARA SELECTION),11,2026-09-17,1709,773,+936,54.8
魔法少女201 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17,2075,777,+1298,62.6
怨み屋本舗DIABLO 16 (ヤングジャンプコミックス),16,2026-09-17,1815,822,+993,54.7
イリオス 14 (ヤングジャンプコミックスDIGITAL),14,2026-09-17,2697,899,+1798,66.7
4軍くん（仮） 14 (ヤングジャンプコミックスDIGITAL),14,2026-09-17,4276,1012,+3264,76.3
モンスターアンドゴースト 4【電子限定漫画付き】 モンスターアンドゴースト【電子限定漫画付き】 (B.PilzCOMICS),,2026-09-17,1613,1074,+539,33.4
岩元先輩ノ推薦 15 (ヤングジャンプコミックス),15,2026-09-17,4170,1526,+2644,63.4
婚約破棄された悪辣オメガは義兄公爵に執着される（2） (comic LAKE),2,2026-09-17,2258,1593,+665,29.5
グランマの憂鬱 ： 20 (ジュールコミックス),20,2026-09-17,3309,1992,+1317,39.8
ラブライブ! flowers*―蓮ノ空女学院スクールアイドルクラブ― 5 (ヤングジャンプコミックス),5,2026-09-17,3742,2035,+1707,45.6
ギャルと本屋 (2) (てんとう虫コミックス),2,2026-09-17,4029,2091,+1938,48.1
お前は俺のモノだろ？　～俺様社長の独占溺愛～４【電子限定特典付】 (ピュールコミックスピュア),,2026-09-17,5478,2559,+2919,53.3
~銀牙伝説~レクイエム (12) (ニチブンコミックス),12,2026-09-17,3082,2932,+150,4.9
メランコ・キリング 2 (ヤングジャンプコミックス),2,2026-09-17,5748,2998,+2750,47.8
嫁がくる！ 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17,5850,3090,+2760,47.2
勇者遺族 3 (ヤングジャンプコミックスDIGITAL),3,2026-09-17,6669,3298,+3371,50.5
デカいうさぎに懐かれた！？　2 (チャンピオンREDコミックス),2,2026-09-17,10028,3494,+6534,65.2
獣達のペレグリナティオ (1) (裏少年サンデーコミックス),1,2026-09-17,11322,4382,+6940,61.3
サエイズム　18 (チャンピオンREDコミックス),18,2026-09-17,11718,4805,+6913,59
理想郷女子図鑑～私の結婚生活、とっても幸せです～ 4 (ヤングジャンプコミックスDIGITAL),4,2026-09-17,13508,4955,+8553,63.3
もう少しだけ、そばにいて A Little Journey (クロフネCOMICS くろふねピクシブシリーズ),,2026-09-17,9641,5862,+3779,39.2
アラームが鳴らないうちに,,2026-09-17,7911,6023,+1888,23.9
かりそめの公爵夫人 7 (piccomics),7,2026-09-17,13342,6537,+6805,51
