タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
裏切られたので、王妃付き侍女にジョブチェンジ！ 8巻 (マッグガーデンコミックスavarusシリーズ),8,2026-09-15,467,53,+414,88.7
怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだら最凶の夫婦になりました@COMIC 第3巻 (コロナ・コミックス),3,2026-09-15,1290,77,+1213,94
２度目の人生、と思ったら、実は３度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～@COMIC 第4巻 (コロナ・コミックス),4,2026-09-15,1248,93,+1155,92.5
コミュ障、異世界へ行く 9巻 (LINEコミックス),9,2026-09-15,665,182,+483,72.6
ジェヴォーダンという獣～牢獄で女をむさぼる元人間の最凶モンスターは、復讐のプリズンブレイクをくわだてる～(2) (メテオCOMICS),2,2026-09-15,1337,460,+877,65.6
今日、駅で見た可愛い女の子。(7) (ポラリスCOMICS),7,2026-09-15,774,520,+254,32.8
クレバテス−魔獣の王と赤子と屍の勇者−【フルカラー版】 14巻 クレバテス－魔獣の王と赤子と屍の勇者－【フルカラー版】 (LINEコミックス),14,2026-09-15,791,524,+267,33.8
幼女無双～仲間に裏切られた召喚師、魔族の幼女になって【英霊召喚】で溺愛スローライフを送る～（ポルカコミックス）５,5,2026-09-15,1602,525,+1077,67.2
ダブル(6) (ヒーローズコミックス　ふらっと),6,2026-09-15,1379,694,+685,49.7
クレバテス−魔獣の王と赤子と屍の勇者− 14巻 クレバテス－魔獣の王と赤子と屍の勇者－ (LINEコミックス),14,2026-09-15,1567,712,+855,54.6
転生貴族の異世界冒険録～カインのやりすぎギルド日記～（ポルカコミックス）１１,11,2026-09-15,2925,849,+2076,71
姉が剣聖で妹が賢者で（ポルカコミックス）７,7,2026-09-15,2549,918,+1631,64
飯バフ食堂、盛況なり～「おっさんは邪魔だ！」と追放された付与術師、特技を生かして田舎で食堂を開くも英雄御用達となる～@COMIC 第2巻 (コロナ・コミックス),2,2026-09-15,6718,1050,+5668,84.4
転がる姉弟(8) (ヒーローズコミックス ふらっと),8,2026-09-15,1856,1097,+759,40.9
悪女は美しき獣の愛に咲く (3) (ポラリスCOMICS),3,2026-09-15,2669,2092,+577,21.6
辺境領主の俺は悪役令嬢として追放された嫁のため、大国を滅ぼすことにした。(1) (モンスターコミックス),1,2026-09-15,2668,2185,+483,18.1
めちゃくちゃ追放される話(1)【電子限定特典付】 (ヒーローズコミックス ふらっと),1,2026-09-15,9808,2498,+7310,74.5
リストルージュ　5 (ボニータ・コミックス),5,2026-09-15,4801,2949,+1852,38.6
ベタ惚れの婚約者が悪役令嬢にされそうなので。 10巻 (マッグガーデンコミックスavarusシリーズ),10,2026-09-15,9284,3253,+6031,65
殿下が一目惚れした令嬢の正体はあなたの護衛騎士です！ THE COMIC 3巻 (マッグガーデンコミックスavarusシリーズ),3,2026-09-15,18131,4710,+13421,74
SCPって何ですか？: 5【イラスト特典付】 (HOWLコミックス),,2026-09-15,7208,5109,+2099,29.1
専業主婦だけど、食い尽くし夫と離婚します　第10巻 (コミックエッセイ),10,2026-09-15,28183,6205,+21978,78
セカンドキスからはじまる恋 (gateauコミックス),,2026-09-15,16792,6646,+10146,60.4
溺れるほど愛されて、幸せになってみせますわ！アンソロジーコミック 28巻 (COMIC ROOM),28,2026-09-15,21402,6962,+14440,67.5
ねこまた怪議,,2026-09-15,12331,7073,+5258,42.6
推しの敵になったので@COMIC 第2巻 (コロナ・コミックス),2,2026-09-15,38207,9190,+29017,75.9
漫画アクション 2026年10/6号［雑誌］,,2026-09-15,18124,9604,+8520,47
アフターグロウ【7P小冊子】 (gateauコミックス),,2026-09-15,21196,9922,+11274,53.2
死に戻りの薔薇姫は敵国の公爵に溺愛される(2) (ポラリスCOMICS),2,2026-09-15,16956,10018,+6938,40.9
となりの宮廷料理人　4 (ボニータ・コミックス),4,2026-09-15,23920,11827,+12093,50.6
陵の王 3巻 (マッグガーデンコミックスavarusシリーズ),3,2026-09-15,15846,11860,+3986,25.2
剣に焦ぐ 1 (サイコミ),1,2026-09-15,10654,11991,-1337,-12.5
恋のとなりにお弁当 (リラクトコミックス),,2026-09-15,33954,12296,+21658,63.8
怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだら最凶の夫婦になりました@COMIC 第3巻 (コロナ・コミックス),3,2026-09-15,29986,12299,+17687,59
絶倫オジサマ紳士に抱き尽くされる契約結婚　～1000万の溺愛絶頂テクで甘イキ止まらない　上 (ラブパルフェコミックス),1,2026-09-15,24550,12563,+11987,48.8
剣に焦ぐ 2 (サイコミ),2,2026-09-15,11567,12891,-1324,-11.4
ワン ホット ミニット (TENMA COMICS LO),,2026-09-15,24103,13088,+11015,45.7
先生と僕のお見合い結婚 (gateauコミックス),,2026-09-15,23662,13152,+10510,44.4
裏切られたので、王妃付き侍女にジョブチェンジ！ 特装版 8巻 裏切られたので、王妃付き侍女にジョブチェンジ！　特装版 (マッグガーデンコミックスavarusシリーズ),8,2026-09-15,24918,14382,+10536,42.3
贋作の第十番 1 (1) (ボニータコミックス),1,2026-09-15,32427,16355,+16072,49.6
続・善次くんお借りします［ばら売り］第23話 (花丸漫画),,2026-09-15,24439,16610,+7829,32
魔界の王子と花嫁【コミックス版】(3) (Bebe),3,2026-09-15,20024,16679,+3345,16.7
プロローグは終末で(1) (ヒーローズコミックス ふらっと),1,2026-09-15,23779,17532,+6247,26.3
どっちが強い!? 水辺の怪物バトル 乱入!古代ワニパニック (角川まんが科学シリーズ),,2026-09-15,15499,17683,-2184,-14.1
絶倫オジサマ紳士に抱き尽くされる契約結婚　～1000万の溺愛絶頂テクで甘イキ止まらない　下 (ラブパルフェコミックス),3,2026-09-15,24560,18043,+6517,26.5
カレーを食べてレベルアップ!~カレーを楽しんでいただけなのにいつのまにか最強プレイヤーになっていました~ (1) (メテオCOMICS),1,2026-09-15,30791,19318,+11473,37.3
綺麗な君に殺されたい。: 4【イラスト特典付】 (HOWLコミックス),,2026-09-15,29658,19960,+9698,32.7
サヴマ(1) (ヒーローズコミックス ふらっと),1,2026-09-15,26185,20076,+6109,23.3
恋のメビウス ~彼との主従は幻影の彼方から~ 4 (4) (MIU恋愛MAXコミックス),4,2026-09-15,22568,21355,+1213,5.4
空想喫茶のめぐり方,,2026-09-15,24114,22034,+2080,8.6
おとなの初恋【マイクロ】（４７） (フラワーコミックス),47,2026-09-15,43877,22488,+21389,48.7
魔物喰らいの冒険者～俺だけ魔物を喰らって強くなる～ 5巻 (LINEコミックス),5,2026-09-15,26917,23564,+3353,12.5
SCPって何ですか？(5) (HOWLコミックス),5,2026-09-15,26893,24137,+2756,10.2
悪女が生き残る方法～伯爵令嬢に転生したけど処刑されるなんてお断りです～ THE COMIC 1 (マッグガーデンコミック avarusシリーズ),1,2026-09-15,32545,25003,+7542,23.2
【分冊版】服飾師ルチアはあきらめない ～今日から始める幸服計画～ 第43話 (FWコミックスオルタ),,2026-09-15,43021,26463,+16558,38.5
少女漫画じゃおしえてくれない！ (gateauコミックス),,2026-09-15,73964,26941,+47023,63.6
青⇔オレンジ［ばら売り］第29話 (花丸漫画),,2026-09-15,42857,28837,+14020,32.7
君を食べたい　27 (MIU 恋愛MAX COMICS),27,2026-09-15,75990,29417,+46573,61.3
異世界に来たけど、生活魔法しか使えません THE COMIC【分冊版】 9巻 (マッグガーデンコミックスBeat'sシリーズ),9,2026-09-15,44259,33029,+11230,25.4
人妻物語（フルカラー）12 (コミックダイス),12,2026-09-15,33235,39723,-6488,-19.5
ふたりよがりなメルティチャーム(8) (MooiComics),8,2026-09-15,66336,40580,+25756,38.8
ベタ惚れの婚約者が悪役令嬢にされそうなので。 特装版 10巻 ベタ惚れの婚約者が悪役令嬢にされそうなので。　特装版 (マッグガーデンコミックスavarusシリーズ),10,2026-09-15,55739,43279,+12460,22.4
小国の侯爵令嬢は敵国にて覚醒する【単話版】２５ (PASH! コミックス),25,2026-09-15,54731,43310,+11421,20.9
後宮オメガ～皇帝の番～【電子単行本】　上 (PRINCESS COMICS DX カチCOMI),1,2026-09-15,44922,44059,+863,1.9
理系メガネな彼にとろあま調教されてます【電子単行本】　3 (MIU 恋愛MAX COMICS),3,2026-09-15,125908,50701,+75207,59.7
なんぼの食卓 1 (1) (ボニータコミックス),1,2026-09-15,59843,51328,+8515,14.2
後宮オメガ～皇帝の番～【電子単行本】　下 (PRINCESS COMICS DX カチCOMI),3,2026-09-15,46274,54274,-8000,-17.3
