順位,タイトル,巻数,発売日
2,黄泉のツガイ 13巻 (デジタル版ガンガンコミックス),13,2026-07-10
6,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ はじまりの召喚士　14【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10
10,領民0人スタートの辺境領主様～青のディアスと蒼角の乙女～　15【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10
105,MIX（２５） (ゲッサン少年サンデーコミックス),25,2026-07-10
171,転生してハイエルフになりましたが、スローライフは120年で飽きました -Highelf with a long life- (10) (アース・スターコミックス),10,2026-07-10
202,最強出涸らし皇子の暗躍帝位争い　（１０） (角川コミックス・エース),10,2026-07-10
214,無自覚聖女は今日も無意識に力を垂れ流す ～公爵家の落ちこぼれ令嬢、嫁ぎ先で幸せを掴み取る～　8【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10
235,これ描いて死ね（１０） (ゲッサン少年サンデーコミックス),10,2026-07-10
236,転生したら序盤で死ぬ中ボスだった－ヒロイン眷属化で生き残る－ 12巻 (デジタル版ガンガンコミックスONLINE),12,2026-07-10
238,くちべた食堂　７ (ビームコミックス),7,2026-07-10
245,ロードマギアの弟子（７） (サンデーうぇぶりコミックス),7,2026-07-10
253,転生しました、サラナ・キンジェです。ごきげんよう。　～優雅なスローライフで大忙し～４【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10
356,クラス最安値で売られた俺は、実は最強パラメーター （10） (角川コミックス・エース),10,2026-07-10
366,最強女師匠たちが育成方針を巡って修羅場（１２） (マンガワンコミックス),12,2026-07-10
399,転生社畜のチート菜園 ～万能スキルと便利な使い魔妖精を駆使してたら、気づけば大陸一の生産拠点ができていた～ 5 (電撃コミックスNEXT),5,2026-07-10
409,異世界ありがとう（１０） (マンガワンコミックス),10,2026-07-10
438,となりの席のヤツがそういう目で見てくる（６） (サンデーうぇぶりコミックス),6,2026-07-10
456,出会って5秒でバトル（３１） (裏少年サンデーコミックス),31,2026-07-10
476,スローループ　１１巻 (まんがタイムＫＲコミックス),11,2026-07-10
524,まんきつしたい常連さん(5)【電子限定描きおろし漫画付き】 (角川コミックス・エース),5,2026-07-10
666,全部救ってやる（８） (マンガワンコミックス),8,2026-07-10
731,おじ転生～悪役令嬢の加齢なる生活～（５） (サンデーうぇぶりコミックス),5,2026-07-10
776,史上最強オークさんの楽しい異世界ハーレムづくり（１５） (裏少年サンデーコミックス),15,2026-07-10
820,英雄と賢者の転生婚～かつての好敵手と婚約して最強夫婦になりました～ 8巻 (デジタル版ガンガンコミックスONLINE),8,2026-07-10
1013,一命様お断り (ビームコミックス),,2026-07-10
1016,サイコアイズ（７） (サンデーうぇぶりコミックス),7,2026-07-10
1176,龍神の娘 3巻 (デジタル版ガンガンコミックス),3,2026-07-10
1331,絶対魅了で異世界攻略！～高慢女わからせハーレム計画～【電子単行本】2巻 (comipo comics),2,2026-07-10
1366,ビッグコミック 2026年14号（2026年7月10日発売） [雑誌],,2026-07-10
1533,ベヒモスの花婿　３　電子限定特装版 ベヒモスの花婿電子限定特装版 (角川コミックス・エース),,2026-07-10
1627,ベヒモスの花婿　３ (角川コミックス・エース),3,2026-07-10
1694,前世は保育士、今世は悪役令嬢？からの、わがまま姫様の教育係!?　（２）　姫様のお世話で手いっぱいなので、王子様との恋愛はまた今度！ (角川コミックス・エース),2,2026-07-10
1804,鬼の花嫁　１０　特装版　小冊子付き (noicomi COMICS),,2026-07-10
1948,売られた辺境伯令嬢は隣国の王太子に溺愛される【コミックス版】 ： 14 (COMIC ROOM),14,2026-07-10
2033,最弱冒険者が【完全ドロップ】で現代最強　自分だけのレアスキルとカスタムアビリティを駆使して他の誰より強くなる！ 3巻 (デジタル版ガンガンコミックスONLINE),3,2026-07-10
2503,山岸凉子トリビュート,,2026-07-10
2543,組長娘と世話係 16 (コミックELMO),16,2026-07-10
2615,コミックライドアドバンス2026年8月号(vol.71),71,2026-07-10
2643,反逆のソウルイーター　-魂の捕食者と少女たち-５【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10
3003,コードギアス　新潔のアルマリア　（２） (角川コミックス・エース),2,2026-07-10
3082,先生、僕たちは殺していません。 5巻 (デジタル版ガンガンコミックスONLINE),5,2026-07-10
3392,侯爵家のいたって平和ないつもの食卓～堅物侯爵は後妻に事細かに指示をする～（コミック） 2巻 (デジタル版ガンガンコミックスONLINE),2,2026-07-10
4654,異世界で愛されすぎて困ってます！異世界BLアンソロジー ： 4 (コミックマージナル),4,2026-07-10
4777,悪役がいっぱい出てくるエロゲのキモデブ悪役貴族に転生した。痩せて、破滅回避し悪役達による犯罪を未然に防いでスローライフを目指す　2 (角川コミックス・エース),2,2026-07-10
