タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
町人Aは悪役令嬢をどうしても救いたい～どぶと空と氷の姫君～　10【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-08-07,50,41,+9,18
魔女と傭兵（９） (マガジンポケットコミックス),9,2026-08-07,124,42,+82,66.1
転生したら第七王子だったので、気ままに魔術を極めます（２４） (マガジンポケットコミックス),24,2026-08-07,133,48,+85,63.9
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル９９９９の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（２３） (マガジンポケットコミックス),23,2026-08-07,126,54,+72,57.1
乙女ゲー世界はモブに厳しい世界です【共和国編】 02 (ドラゴンコミックスエイジ),2,2026-08-07,122,55,+67,54.9
ふかふかダンジョン攻略記～俺の異世界転生冒険譚～【白版】 20巻 (ブレイドコミックス),20,2026-08-07,146,62,+84,57.5
魔王城の料理番 ～コワモテ魔族ばかりだけど、ホワイトな職場です～　6巻 (バンチコミックス),6,2026-08-07,255,73,+182,71.4
転生したらスライムだった件 クレイマンREVENGE(9) (シリウスKC),9,2026-08-07,149,79,+70,47
よくわからないけれど異世界に転生していたようです(32) (シリウスKC),32,2026-08-07,138,87,+51,37
時間停止勇者(22) (シリウスKC),22,2026-08-07,144,99,+45,31.3
魔法少女リリカルなのはＥＸＣＥＥＤＳ（３） (水曜日のシリウスコミックス),3,2026-08-07,166,113,+53,31.9
Ｄｅｓｔｉｎｙ　Ｕｎｃｈａｉｎ　Ｏｎｌｉｎｅ　～吸血鬼少女となって、やがて『赤の魔王』と呼ばれるようになりました～（１３） (マガジンポケットコミックス),13,2026-08-07,319,143,+176,55.2
独身貴族は異世界を謳歌する ~結婚しない男の優雅なおひとりさまライフ~(8) (シリウスKC),8,2026-08-07,212,149,+63,29.7
この素晴らしい世界に祝福を! 23 (ドラゴンコミックスエイジ),23,2026-08-07,180,152,+28,15.6
追放された転生王子、『自動製作』スキルで領地を爆速で開拓し最強の村を作ってしまう～最強クラフトスキルで始める、楽々領地開拓スローライフ～（８） (マガジンポケットコミックス),8,2026-08-07,318,153,+165,51.9
異世界ウォーキング（１４） (マガジンポケットコミックス),14,2026-08-07,419,155,+264,63
生まれた直後に捨てられたけど、前世が大賢者だったので余裕で生きてます ～最強赤ちゃん大暴走～　16【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-08-07,217,159,+58,26.7
クマ撃ちの女　17巻【電子特典付き】 (バンチコミックス),17,2026-08-07,282,162,+120,42.6
鹿楓堂よついろ日和 23 (バンチコミックス),23,2026-08-07,299,187,+112,37.5
山と食欲と私　21巻 (バンチコミックス),21,2026-08-07,203,188,+15,7.4
ゲーム オブ ファミリア-家族戦記- 17 (ドラゴンコミックスエイジ),17,2026-08-07,281,194,+87,31
戦地から帰ってきたタカシ君。普通に高校生活を送りたい（コミック）【電子版特典付】３ (PASH! コミックス),,2026-08-07,770,202,+568,73.8
Ａランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。（１３） (マガジンポケットコミックス),13,2026-08-07,525,207,+318,60.6
ギルティサークル（２１） (マガジンポケットコミックス),21,2026-08-07,364,207,+157,43.1
ポンコツ魔王の田舎暮らし　6巻【電子特典付き】 (バンチコミックス),6,2026-08-07,433,209,+224,51.7
ハナバス　苔石花江のバスケ論（７） (マガジンポケットコミックス),7,2026-08-07,329,221,+108,32.8
美人女上司滝沢さん 10 (ドラゴンコミックスエイジ),10,2026-08-07,348,223,+125,35.9
私、蜘蛛なモンスターをテイムしたので、スパイダーシルクで裁縫を頑張ります！ 3 (ドラゴンコミックスエイジ),3,2026-08-07,588,234,+354,60.2
不純な彼女達は懺悔しない 5 (ドラゴンコミックスエイジ),5,2026-08-07,369,235,+134,36.3
異世界領地改革～土魔法で始める公共事業～ 9巻【特典イラスト付き】 (ゼノンコミックス),9,2026-08-07,1296,236,+1060,81.8
追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。　～俺は武器だけじゃなく、あらゆるものに『強化ポイント』を付与できるし、俺の意思でいつでも効果を解除できるけど、残った人たち大丈夫？～（２１） (月刊少年マガジンコミックス),21,2026-08-07,354,240,+114,32.2
ブーツレグ（８） (シリウスコミックス),8,2026-08-07,738,240,+498,67.5
絶対死なないステラ姫(6) (シリウスKC),6,2026-08-07,346,242,+104,30.1
辺境の貧乏伯爵に嫁ぐことになったので領地改革に励みます～the letter from Boule～　5【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-08-07,388,250,+138,35.6
人生逆転ダンジョン(4) (KCデラックス),4,2026-08-07,511,275,+236,46.2
死体担ぎのネム　3巻【電子特典付き】 (バンチコミックス),3,2026-08-07,737,313,+424,57.5
ハニートラップ・シェアハウス　９ (ドラゴンコミックスエイジ),9,2026-08-07,728,333,+395,54.3
公爵令嬢は我が道を場当たり的に行く 5 (ブシロードコミックス),5,2026-08-07,1372,343,+1029,75
転生したら最愛の家族にもう一度出会えました　～あふれる愛をこの一皿にのせて～４【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-08-07,521,345,+176,33.8
スキル【万物支配】に目覚めたおっさんは、ダンジョンで生計を立てることにしました~無職から始める支配者無双~(3) (シリウスKC),3,2026-08-07,706,375,+331,46.9
ジュミドロ（９） (マガジンポケットコミックス),9,2026-08-07,865,400,+465,53.8
はなコミ! ~となりにアイドル~,,2026-08-07,2059,419,+1640,79.7
世界を救うために亜人と朝チュンできますか？　10 (ドラゴンコミックスエイジ),10,2026-08-07,898,425,+473,52.7
ＦＡＩＲＹ　ＴＡＩＬ　１００　ＹＥＡＲＳ　ＱＵＥＳＴ（２４） (週刊少年マガジンコミックス),24,2026-08-07,510,427,+83,16.3
戦鬼と呼ばれた男、王家に暗殺されたら娘を拾い、一緒にスローライフをはじめる innocent days　7 (アース・スターコミックス),7,2026-08-07,687,437,+250,36.4
真綿の檻 (8) (フラワーコミックスα),8,2026-08-07,580,441,+139,24
転生したらスライムだった件 異聞 ~魔国暮らしのトリニティ~(14) (シリウスKC),14,2026-08-07,969,467,+502,51.8
俺のワクチンだけがゾンビ化した世界を救える　5巻 (バンチコミックス),5,2026-08-07,1202,469,+733,61
脱落令嬢の結婚　２ (フィールコミックス),2,2026-08-07,1022,550,+472,46.2
