順位,タイトル,巻数,発売日
5315,息できないのは君のせい 後日談【単話版】(2) (ビボピーコミックス),2,2026-09-22
12705,白い結婚から三年。旦那様、私と離縁してください(話売り)　#25 (ヤングチャンピオン・コミックス),25,2026-09-22
27849,売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#30 (ヤングチャンピオン・コミックス),30,2026-09-22
29980,人妻物語（フルカラー）13 (コミックダイス),13,2026-09-22
33182,そのつがい婚は王子様と(10) (コミック カーテシック),10,2026-09-22
47309,甘いお菓子の後は甘い溺愛を～婚約破棄された令嬢は辺境伯子息に溺愛される～(18) (コミック カーテシック),18,2026-09-22
54737,追放戦士のバール無双”SIMPLE殴打2000”～狂化スキルで成り上がるバールのバールによるバールのための英雄譚～ モバMAN DIGITAL COMICS（１１） (デジコレ),11,2026-09-22
67387,５６００歳の不老不死インフルエンサーいわく。(話売り)　#54～#57 (ヤングチャンピオン・コミックス),57,2026-09-22
97889,ミラ・ブランシャールは二度救う ～ある日、親友は別人になった～(5) (コミック カーテシック),5,2026-09-22
144663,アデル～全てを奪われた令嬢は復讐を誓う～(11) (コミック カーテシック),11,2026-09-22
169557,将校はいつも不機嫌(10) (コミック カーテシック),10,2026-09-22
240334,悪役令嬢の兄に転生しました(話売り)　#46 (ヤングチャンピオン・コミックス),46,2026-09-22
—,ボーイミーツ異形さま(話売り)　#7 (ヤングチャンピオン・コミックス),,2026-09-22
—,片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～(話売り)　#48 (ヤングチャンピオン・コミックス),48,2026-09-22
