順位,タイトル,巻数,発売日
266,醜いオークの逆襲 同人エロゲの鬼畜皇太子に転生した喪男の受難（コミック） ： 7 (モンスターコミックス),7,2026-08-09
52345,おじ転生～悪役令嬢の加齢なる生活～【単話】（３４） (サンデーうぇぶりコミックス),34,2026-08-09
