順位,タイトル,巻数,発売日
8,The JOJOLands 9 (ジャンプコミックス),9,2026-09-17
72,ニンジャスレイヤー キョート・ヘル・オン・アース　20 (チャンピオンREDコミックス),20,2026-09-17
152,魔力枯れのダークエルフ(2) (ヤンマガKCスペシャル),2,2026-09-17
181,ドラゴンの胃でおやすみ（３） (ヤングマガジンコミックス),3,2026-09-17
187,BUNGO-unreal- 3［BUNGO―ブンゴ― 44］ (ヤングジャンプコミックスDIGITAL),,2026-09-17
188,はるかリセット　26 (チャンピオンREDコミックス),26,2026-09-17
197,ばくおん!! 20 (20) (ヤングチャンピオン烈コミックス),20,2026-09-17
202,ドッグスレッド 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17
203,超人X 17 (ヤングジャンプコミックスDIGITAL),17,2026-09-17
205,氷結令嬢さまをフォローしたら、メチャメチャ溺愛されてしまった件＠comic（２） (裏少年サンデーコミックス),2,2026-09-17
214,今朝も揺られてます　5 (少年チャンピオン・コミックス),5,2026-09-17
233,ジャジャ (40) (サンデーGXコミックス),40,2026-09-17
244,星屑の王子様（１１） (マンガワン女子部),11,2026-09-17
350,DEAD Tube　～デッドチューブ～　29 (チャンピオンREDコミックス),29,2026-09-17
365,君のことが大大大大大好きな100人の彼女 27 (ヤングジャンプコミックスDIGITAL),27,2026-09-17
425,未亡人アンネの閨の手ほどき（５） (Pomme Comics),5,2026-09-17
440,復讐を希う最強勇者は、闇の力で殲滅無双する 19 (ヤングジャンプコミックスDIGITAL),19,2026-09-17
624,Dr.Eggs ドクターエッグス 15 (ヤングジャンプコミックス),15,2026-09-17
626,ばくおん!! ~天野恩紗のニコイチ繁盛記~ 4 (4) (ヤングチャンピオン烈コミックス),4,2026-09-17
728,あなた達それでも先生ですかっ！ 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17
734,チカーノKEI～米国極悪刑務所を生き抜いた日本人～　20 (ヤングチャンピオン・コミックス),20,2026-09-17
752,TOUGH 第二章 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17
824,雪と墨（１０） (ヤングマガジンコミックス),10,2026-09-17
829,バツハレ 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17
856,私刑執行人～殺人弁護士とテミスの天秤～【電子単行本】　9 (ヤングチャンピオン・コミックス),9,2026-09-17
902,迷子になっていた幼女を助けたら、お隣に住む美少女留学生が家に遊びに来るようになった件について 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17
1246,静かなるドン　― もうひとつの最終章 ―（９）,9,2026-09-17
1294,バブル ~チカーノKEI歌舞伎町血闘編~ 11 (11) (ヤングチャンピオンコミックス),11,2026-09-17
1398,真面目メガネくんをオトしたい 5 (フルールコミックス),5,2026-09-17
1613,モンスターアンドゴースト 4【電子限定漫画付き】 モンスターアンドゴースト【電子限定漫画付き】 (B.PilzCOMICS),,2026-09-17
1709,うちはおっぺけ 3姉妹といっしょ (11) (SUKUPARA SELECTION),11,2026-09-17
1722,救世主《メシア》～異世界を救った元勇者が魔物のあふれる現実世界を無双する～ 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17
1815,怨み屋本舗DIABLO 16 (ヤングジャンプコミックス),16,2026-09-17
1864,レッドムーダン 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17
2044,生意気なギャル姉を解らせる話 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17
2075,魔法少女201 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17
2142,転生ゴブリンだけど質問ある？ 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17
2258,婚約破棄された悪辣オメガは義兄公爵に執着される（2） (comic LAKE),2,2026-09-17
2301,商人令嬢アニエス 辺境に追放された悪役令嬢は商才を発揮し成り上がる 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17
2572,ガス灯野良犬探偵団 12 (ヤングジャンプコミックスDIGITAL),12,2026-09-17
2601,裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17
2697,イリオス 14 (ヤングジャンプコミックスDIGITAL),14,2026-09-17
3082,~銀牙伝説~レクイエム (12) (ニチブンコミックス),12,2026-09-17
3309,グランマの憂鬱 ： 20 (ジュールコミックス),20,2026-09-17
