タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
花野井くんと恋の病（１９） (デザートコミックス),19,2026-07-13,3290,2232,+1058,32.2
きみの横顔を見ていた（６） (別冊フレンドコミックス),6,2026-07-13,4867,3689,+1178,24.2
夕闇とかたわれ (KCデラックス),,2026-07-13,7246,3807,+3439,47.5
ブルターニュ花嫁異聞(7)【電子限定特典ペーパー付き】 (RYU COMICS),7,2026-07-13,5779,4160,+1619,28
黒崎くんの言いなりになんてならないS(3) (別冊フレンドKC),3,2026-07-13,6327,4961,+1366,21.6
十九川くんが困らせてくる！（６） (パルシィコミックス),6,2026-07-13,12662,8069,+4593,36.3
星降る王国のニナ(19)特装版 (プレミアムKC),19,2026-07-13,12221,9020,+3201,26.2
ケイ×ヤク　－あぶない相棒－（１５） (パルシィコミックス),15,2026-07-13,12298,10368,+1930,15.7
オカルトマンガ家 永久保先生の“非”日常［1話売り］　story07 (ホラー シルキー),,2026-07-13,9424,11248,-1824,-19.4
ののちゃん(15) (ジブリコミックス),15,2026-07-13,13316,14209,-893,-6.7
角川まんが学習シリーズ のびーる国語 満点漢字力2 3・4年生の漢字,,2026-07-13,13772,14848,-1076,-7.8
ヤングコミック 2026年 08月号 [雑誌],,2026-07-13,19446,18337,+1109,5.7
策士な上司は溺愛欲を隠さない。(15) (シェノンコミックス),15,2026-07-13,28138,19478,+8660,30.8
やわはだに春雷（４） (BE・LOVEコミックス),4,2026-07-13,31422,19899,+11523,36.7
死に戻り令嬢の仮初め結婚 ~二度目の人生は生真面目将軍と星獣もふもふ~ 6 (6巻) (YKコミックス),6,2026-07-13,24153,23625,+528,2.2
策士な上司は溺愛欲を隠さない。～囲って、乱して、とろあまエッチ～(15) (シェノンコミックス+),15,2026-07-13,41661,30384,+11277,27.1
二度目の恋は、甘くてアブナイ(20) (シェノンコミックス),20,2026-07-13,54157,35837,+18320,33.8
誰そ彼のひと（２） (Ｋｉｓｓコミックス),2,2026-07-13,39439,36092,+3347,8.5
竜宮ホテル(1)【電子単行本限定特典付き】 (RYU COMICS),1,2026-07-13,38857,36110,+2747,7.1
コミック乱ツインズ 2026年08月号 [雑誌],,2026-07-13,45952,36575,+9377,20.4
たぬきはたぬき(2) (RYU COMICS),2,2026-07-13,90656,61824,+28832,31.8
愛したがりエリートくんには秘密がある。(18) (シェノンコミックス),18,2026-07-13,105692,66341,+39351,37.2
ハーレム相続【単話】（２８） (ビッグコミックス),28,2026-07-13,158984,99015,+59969,37.7
