順位,タイトル,巻数,発売日
3,薬屋のひとりごと 17巻 (デジタル版ビッグガンガンコミックス),17,2026-07-24
17,スーパーの裏でヤニ吸うふたり 9巻 (デジタル版ビッグガンガンコミックス),9,2026-07-24
149,解雇された宮廷錬金術師は辺境で大農園を作り上げる～祖国を追い出されたけど、最強領地でスローライフを謳歌する～8巻 (グラストCOMICS),8,2026-07-24
276,プラスチック姉さん 30巻 (デジタル版ヤングガンガンコミックス),30,2026-07-24
315,転移先は薬師が少ない世界でした７ (レジーナCOMICS),,2026-07-24
375,転生悪役幼女は最恐パパの愛娘になりました5巻 (Berry's COMICS),5,2026-07-24
505,闇堕ちラスボス令嬢の幼馴染に転生した。俺が死んだらバッドエンド確定なので最強になったけど、もう闇堕ち【ヤンデレ化】してませんか？２ (ノヴァコミックス),,2026-07-24
566,追放貴族は、外れスキル【古代召喚】で英霊たちと辺境領地を再興する～英霊たちを召喚したら慕われたので、最強領地を作り上げます～8巻 (グラストCOMICS),8,2026-07-24
584,ダンジョンに出会いを求めるのは間違っているだろうか 外伝　ソード・オラトリア 34巻 (デジタル版ガンガンコミックスJOKER),34,2026-07-24
613,調教師は魔物に囲まれて生きていきます。～勇者パーティーに置いていかれたけど、伝説の魔物と出会い最強になってた～9巻 (グラストCOMICS),9,2026-07-24
622,バルバロ！ ： 4 (アクションコミックス),4,2026-07-24
785,野原ひろし 昼メシの流儀 ： 15 (アクションコミックス),15,2026-07-24
828,ダンジョンに出会いを求めるのは間違っているだろうかⅡ 7巻 (デジタル版ヤングガンガンコミックス),7,2026-07-24
1092,MURCIÉLAGO -ムルシエラゴ- 29巻 (デジタル版ヤングガンガンコミックス),29,2026-07-24
1126,悪役令嬢にオネエが転生したけど何も問題がない件２ (レジーナCOMICS),,2026-07-24
1403,辺境騎士団のお料理係！～捨てられ幼女ですが、過保護な家族に拾われて美味しいごはんを作ります～2巻 (Berry's COMICS),2,2026-07-24
2550,ＤＯＧＡ ： 6 (webアクションコミックス),6,2026-07-24
2667,猫と竜13 (このマンガがすごい！ comics),,2026-07-24
2721,余命宣告を受けたので私を顧みない家族と婚約者に執着するのをやめることにしました２ (レジーナCOMICS),,2026-07-24
2878,ならば、悪女になりましょう～亡き者にした令嬢からやり返される気分はいかがですか？～2巻 (Berry's COMICS),2,2026-07-24
3171,金魚屋さんのかりそめ夫婦　第４巻【電子特典付き】 (あすかコミックスDX),4,2026-07-24
3210,双子王子の継母になりまして～嫌われ悪女ですが、そんなことより義息子たちが可愛すぎて困ります～3巻 (Berry's COMICS),3,2026-07-24
3880,愛蔵版 天は赤い河のほとり (1) (フラワーコミックス),1,2026-07-24
3934,ヒロインなのに、イケメンアイドル♂になりました！？【電子版限定カラーイラスト特典付き】（７） (フラワーコミックス),7,2026-07-24
3959,愛蔵版 天は赤い河のほとり (2) (フラワーコミックス),2,2026-07-24
5608,新・駅弁ひとり旅～撮り鉄・菜々編～(8) (アクションコミックス),8,2026-07-24
5767,懐妊初夜～一途な社長は求愛の手を緩めない～（４） (フラワーコミックススペシャル),4,2026-07-24
6060,姉喰い勇者と貞操逆転帝国のお姉ちゃん！２ (ノヴァコミックス),,2026-07-24
8726,意味がわかると怖い4コマ ： 6 (アクションコミックス),6,2026-07-24
8888,終電過ぎたらめちゃくちゃヤりたい【電子限定漫画付き】 終電過ぎたらめちゃくちゃヤりたい【コミックス版】 (B.PilzCOMICS),,2026-07-24
9383,デリヘル、呼んでみた。#42無理やり押し込め！ (フォーチュンコミックアダルト),,2026-07-24
10605,抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中！？　5【単行本版 電子限定おまけ漫画付き】 (プティルハニーコミックス),2,2026-07-24
12119,シャイニング! (9) (ちゃおコミックス),9,2026-07-24
13056,すとぷり執事に今日もキュンが止まりません! (2) (ちゃおコミックススペシャル),2,2026-07-24
13702,爛漫ドレスコードレス　6 (プティルコミックス),6,2026-07-24
13870,宝姉妹 3巻 (デジタル版ヤングガンガンコミックス),3,2026-07-24
14524,ビッグコミック 2026年15号（2026年7月24日発売） [雑誌],,2026-07-24
14525,漫画ゴラク 2026年 8/7・14 号 [雑誌] (週刊漫画ゴラク),,2026-07-24
15312,祝言の籠【単話売】(6) (arca comics),6,2026-07-24
16610,追放された不遇職『テイマー』ですが、2つ目の職業が万能職『配合術師』だったので俺だけの最強パーティを作ります（ノヴァコミックス）４,,2026-07-24
16621,"解雇された宮廷錬金術師は辺境で大農園を作り上げる～祖国を追い出されたけど、最強領地でスローライフを謳歌する～ ７ (グラストCOMICS, グラストコミックス)",7,2026-07-24
17355,ふたり鷹 完全版 (第7巻) (書籍扱いコミックス単行本),7,2026-07-24
18224,婚約破棄は本望です！聖女の力が開花したので私は自由に暮らします～本物の聖女は義姉ではなく私でした～3巻 (Berry's COMICS),3,2026-07-24
19732,天棋 TENKI ： 3 (アクションコミックス),3,2026-07-24
20377,極限夫婦(10) (アクションコミックス),10,2026-07-24
20891,黒騎士様の愛玩花嫁になりました。アンソロジー (LOVEBITESコミックス),,2026-07-24
21573,なきっつらに恋 (4) (フラワーコミックス),4,2026-07-24
21984,禁忌解呪の最強装備使い～呪いしか解けない無能と追放されたが、即死アイテムをノーリスクで使い放題～１,,2026-07-24
23867,えぶりでいホスト 5 (あすかコミックスDX),5,2026-07-24
24690,負けヒロインですが結婚します~この中に私の夫がいる!?~ (2) (フラワーコミックス),2,2026-07-24
28041,オルクセン王国史～野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか～【分冊版】（ノヴァコミックス）２０,,2026-07-24
28416,年下幼馴染に溺愛されてます (drap COMICS DX),3,2026-07-24
28422,黒豹くんは食べちゃいたい。 (2) (フラワーコミックス),2,2026-07-24
29734,東京§神狼 (7) (フラワーコミックス),7,2026-07-24
30151,離縁予定の捨てられ令嬢ですが、なぜか次期公爵様の溺愛が始まりました3巻 (Berry's COMICS),3,2026-07-24
31209,異世界キャバクラ 14 (コミックレガリア),14,2026-07-24
31487,恋になるとは聞いてない（３） (フラワーコミックス),3,2026-07-24
31624,泣かせたくてどうしよう　２ (drap COMICS DX),2,2026-07-24
32079,ドS社長はドM秘書をいじめたい～オフィスでぬれとろ玩具レビュー～ 2 (ラブコフレコミックス),2,2026-07-24
32182,小悪魔メイドサイコ第9話 (サイコワコミック),,2026-07-24
32242,魔女と魔性と魔宝の楽園～追放された転生貴族の自由気ままな【蒐集家】生活。ハズレ前世に目覚めた少年は、異世界で聖剣もモフモフも自分の城も手に入れる～１,,2026-07-24
32798,魔王様は回復魔術を極めたい１ (ノヴァコミックス),,2026-07-24
34339,Berry’sFantasyならば、悪女になりましょう～亡き者にした令嬢からやり返される気分はいかがですか？～10巻 (Berry's COMICS),10,2026-07-24
36459,婚約破棄された貧乏伯爵令嬢ですが、憧れの冷徹王弟に溺愛されています コミック版 （分冊版） 【第21話】 (BKコミックスf),,2026-07-24
37868,Berry’sFantasy双子王子の継母になりまして～嫌われ悪女ですが、そんなことより義息子たちが可愛すぎて困ります～14巻 (Berry's COMICS),14,2026-07-24
38087,不良少年に飯を食わす 2巻 (デジタル版ビッグガンガンコミックス),2,2026-07-24
38766,麻痺・痙攣・恋【単話売】(5) (arca comics),5,2026-07-24
39129,チラチラ【単話】（１０４） (ビッグコミックス),104,2026-07-24
39287,転生騎士団長は腹黒宰相の執着愛を全力回避したい (Charaコミックス),,2026-07-24
40950,Berry’sFantasyねこねこ幼女の愛情ごはん～異世界でもふもふ達に料理を作ります！～19巻 (Berry's COMICS),19,2026-07-24
41337,魅了持ちの姉に奪われる人生はもう終わりにします～毒家族に虐げられた心読み令嬢が幸せになるまで～2巻 (Berry's COMICS),2,2026-07-24
42138,Berry’sFantasy引きこもり令嬢は皇妃になんてなりたくない！～強面皇帝の溺愛が駄々漏れで困ります～25巻 (Berry's COMICS),25,2026-07-24
44734,Berry’sFantasy辺境騎士団のお料理係！～捨てられ幼女ですが、過保護な家族に拾われて美味しいごはんを作ります～10巻 (Berry's COMICS),10,2026-07-24
47897,替霊～カエ・ダマ～ ： 1 (アクションコミックス),1,2026-07-24
48710,モラハラサレ妻のシタ復讐（分冊版） 【第35話】 (マンガよもんが),,2026-07-24
49337,"捨てられ貴族の無人島のびのび開拓記～ようやく自由を手に入れたので、もふもふたちと気まぐれスローライフを満喫します～ 3 (グラストCOMICS, グラストコミックス)",3,2026-07-24
49741,男をやめてみた～癌になったので女装して恋をすることにしました～75 (エンペラーズコミックス),,2026-07-24
50407,ウェディング・ブルーズ【コミックス版】 (ふゅーじょんぷろだくと),,2026-07-24
50986,レンタルックス(2) (アクションコミックス),2,2026-07-24
51857,お金が大好きな平民の私は卑屈貴族と契約結婚して愛し愛されます コミック版 （分冊版） 【第32話】 (BKコミックスf),,2026-07-24
56817,再召喚された勇者は一般人として生きていく？ 12 (このマンガがすごい！ comics),12,2026-07-24
58484,片想いティンクルスター【電子限定漫画付き】 片想いティンクルスター【コミックス版】 (Tulle Comics),,2026-07-24
61842,Berry’sFantasy精霊に愛されすぎた腹ペコ聖女、追放されたけど隣国王太子に溺愛されて幸せいっぱいです7巻 (Berry's COMICS),7,2026-07-24
71522,ばっこ 1巻 (デジタル版ビッグガンガンコミックス),1,2026-07-24
77331,Berry’sFantasy婚約破棄は本望です！聖女の力が開花したので私は自由に暮らします～本物の聖女は義姉ではなく私でした～15巻 (Berry's COMICS),15,2026-07-24
82820,"田舎暮らしの魔草薬師は返り咲く～不正はびこる元職場を解雇されたので独立したら、なぜか各界の超一流たちが集まってきました～３ (グラストCOMICS, グラストコミックス)",,2026-07-24
82952,死刑が確定した転生令嬢は、冷徹長官の妻になって三度目の人生を謳歌します！ コミック版（分冊版） 【第26話】 (BKコミックスf),,2026-07-24
86544,"努力好きの天才錬金術師　１ (グラストCOMICS, グラストコミックス)",1,2026-07-24
91185,夢なし先生の進路指導【単話】（８３） (ビッグコミックス),83,2026-07-24
97241,好きだよ、ミントちゃん。 (B.Pilz COMICS),,2026-07-24
100242,Berry’sFantasy冷酷な公爵様は名無しのお飾り妻がお気に入り～悪女な姉の身代わりで結婚したはずが、気がつくと溺愛されていました～9巻 (Berry's COMICS),9,2026-07-24
103394,Berry’sFantasy転生悪役幼女は最恐パパの愛娘になりました24巻 (Berry's COMICS),24,2026-07-24
106122,"人外剣士は力に魅せられ裏迷宮を攻略す～化け物扱いされた元冒険者は、自分だけが知る迷宮で人目を気にせず無双する～　２ (グラストCOMICS, グラストコミックス)",2,2026-07-24
114439,Berry’sFantasy捨てられた妃　めでたく離縁が成立したので出ていったら、竜国の王太子からの溺愛が待っていました13巻 (Berry's COMICS),13,2026-07-24
119723,役目を果たした日陰の勇者は、辺境で自由に生きていきます【分冊版】17巻 (グラストCOMICS),17,2026-07-24
135292,素直になれない雪乙女は眠れる竜騎士に甘くとかされる コミック版（分冊版） 【第10話】 (BKコミックスf),,2026-07-24
156300,指一本触れられない鉄壁令嬢と猛毒公爵の初恋リベンジ コミック版 （分冊版） 【第12話】 (BKコミックスf),,2026-07-24
178404,推しを味方に付けたら最強だって知ってましたか？１ (レジーナCOMICS),,2026-07-24
209022,本日、貴方を愛するのをやめます　王妃と不倫した貴方が悪いのですよ？（分冊版）第11話 (レジーナCOMICS),,2026-07-24
—,地雷なんですか？地原さん(9) (GANMA!),9,2026-07-24
—,本日、貴方を愛するのをやめます　王妃と不倫した貴方が悪いのですよ？２ (レジーナCOMICS),,2026-07-24
—,年上陛下の不器用な寵愛～政略結婚なのに、私を大事にしすぎです!～(2) (モンスターコミックスf),2,2026-07-24
—,異国の君主と花売り娘／略奪王と黒衣の花嫁 (ハーレクインコミックス・エクストラ),,2026-07-24
—,聖属性ヒーラーは女騎士団の助っ人回復術師をやってます【分冊版】1巻 (グラストCOMICS),1,2026-07-24
—,ビッグコミックスペリオール 2026年16号（2026年7月24日発売） [雑誌],,2026-07-24
