タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
【報告】とある未解決事件について【電子単行本版】２ (コミックアウル),,2026-06-27,13080,6751,+6329,48.4
ニューノーマル６８ (コミックアウル),,2026-06-27,33190,20899,+12291,37
金髪の姫将軍は元敵国の好敵手に嫁ぐ（単話版31） 金髪の姫将軍は元敵国の好敵手に嫁ぐ 単話版 (コミックcoral),,2026-06-27,44819,26858,+17961,40.1
【報告】とある未解決事件について８ (コミックアウル),,2026-06-27,32887,28269,+4618,14
夜の国の呪い姫、引きこもり太陽王子の心を溶かす（2）【描き下ろしおまけ付き】 (コミックcoral),2,2026-06-27,55855,32488,+23367,41.8
その異世界ハーレムは制約つき。～自慰行為を禁止された童貞勇者のスローライフ～（分冊版）３１ (ムゲンコミックス),,2026-06-27,66695,47807,+18888,28.3
龍の花嫁は鬼の嘘に溺れる（単話版22） 龍の花嫁は鬼の嘘に溺れる（単話版） (コミックcoral),,2026-06-27,125172,58659,+66513,53.1
超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版8） 超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版） (コミックcoral),3,2026-06-27,50170,61062,-10892,-21.7
婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版1） 婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版） (コミックcoral),3,2026-06-27,169992,62292,+107700,63.4
そのメイド、危険につき［1話売り］　story16 (花とゆめコミックス),,2026-06-27,199780,62783,+136997,68.6
運良く人生をやり直せることになったので、一度目の人生でわたしを殺した夫の命、握ります（1）【コミックス限定おまけ付き】 (コミックcoral),1,2026-06-27,263203,63210,+199993,76
婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版2） 婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版） (コミックcoral),3,2026-06-27,280656,63246,+217410,77.5
シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版23） シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版） (コミックcoral),,2026-06-27,184915,89190,+95725,51.8
