タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
カグラバチ 12 (ジャンプコミックスDIGITAL),12,2026-09-04,84,2,+82,97.6
ダンダダン 25 (ジャンプコミックスDIGITAL),25,2026-09-04,92,4,+88,95.7
私の心はおじさんである（コミック）５ (PASH! コミックス),5,2026-09-04,327,55,+272,83.2
ドラゴンクエスト ダイの大冒険 勇者アバンと獄炎の魔王 16 (ジャンプコミックスDIGITAL),16,2026-09-04,181,87,+94,51.9
淫靡な洞窟のその奥で 10 (ヴァンプコミックス),10,2026-09-04,234,108,+126,53.8
こちら葛飾区亀有公園前派出所 202 (ジャンプコミックス),202,2026-09-04,213,122,+91,42.7
ヒトナー 1 (ジャンプコミックス),1,2026-09-04,488,148,+340,69.7
新テニスの王子様 48 (ジャンプコミックスDIGITAL),48,2026-09-04,380,157,+223,58.7
ELDEN RING 黄金樹への道 12 (ヒューコミックス),12,2026-09-04,326,158,+168,51.5
鵺の陰陽師 16 (ジャンプコミックスDIGITAL),16,2026-09-04,497,189,+308,62
打ち切られ漫画家と同人女 2 (ジャンプコミックスDIGITAL),2,2026-09-04,2471,235,+2236,90.5
限界OL霧切ギリ子 3 (ジャンプコミックス),3,2026-09-04,548,282,+266,48.5
ひまてん！ 11 (ジャンプコミックスDIGITAL),11,2026-09-04,834,348,+486,58.3
貧乏騎士に嫁入りしたはずが！？ 野人令嬢は皇太子妃になっても竜を狩りたい（コミック）【電子版特典付】３ (PASH! コミックス),3,2026-09-04,722,365,+357,49.4
ねずみの初恋（１１） (ヤングマガジンコミックス),11,2026-09-04,609,368,+241,39.6
しのびごと 9 (ジャンプコミックスDIGITAL),9,2026-09-04,1190,433,+757,63.6
2年B組 勇者デストロイヤーず 1 (ジャンプコミックス),1,2026-09-04,2670,558,+2112,79.1
おかえり水平線 4 (ジャンプコミックスDIGITAL),4,2026-09-04,951,652,+299,31.4
トナリはなにを食う人ぞ　ほろよい 15 (花とゆめコミックス),15,2026-09-04,1456,658,+798,54.8
都市伝説先輩 4 (ジャンプコミックスDIGITAL),4,2026-09-04,2205,681,+1524,69.1
ハイキュー!! キャラクターリミックス 絆 日向と影山 上 (ジャンプコミックス),1,2026-09-04,904,729,+175,19.4
ハイキュー!! キャラクターリミックス 絆 日向と影山 下 (ジャンプコミックス),3,2026-09-04,902,730,+172,19.1
