順位,タイトル,巻数,発売日
153,迷宮狂走曲 3　～エロゲ世界なのにエロそっちのけでひたすら最強を目指すモブ転生者～ (ガルドコミックス),3,2026-08-08
169,きのした魔法工務店　異世界工法で最強の家づくりを（コミック）　４ (GAコミック),4,2026-08-08
193,8歳から始める魔法学 6 (ガルドコミックス),6,2026-08-08
513,誰にも愛されなかった醜穢令嬢が幸せになるまで 4 (ガルドコミックス),4,2026-08-08
1106,無気力ニートな元神童、冒険者になる 7 (ガルドコミックス),7,2026-08-08
1347,アルドの異世界転生 2 (ガルドコミックス),2,2026-08-08
1488,麗しの皇帝陛下の番に選ばれてしまったのですが、まだ仕事がしたいので秘密です！ 3 (ガルドコミックス),3,2026-08-08
3433,創成魔法の再現者 8 (ガルドコミックス),8,2026-08-08
3489,16年目の復讐～奴らを地獄に送るまで【電子単行本版】５ (コミックアウル),,2026-08-08
4421,復讐パパ ～イジメ・リベンジャー～【単行本版】 6巻 (サイコワコミック),6,2026-08-08
5002,きのした魔法工務店　異世界工法で最強の家づくりを（コミック）　４【電子特装版】ガウレア領地域共創報告書～ドキドキ！夜の工務店編～ (GAコミック),,2026-08-08
5175,私を叱る日鷹君と毎晩シています［ばら売り］　第8話 (花とゆめコミックススペシャル),,2026-08-08
6739,社交界の毒婦とよばれる私～素敵な辺境伯令息に腕を折られたので、責任とってもらいます～［ばら売り］　第20話 (花とゆめコミックススペシャル),,2026-08-08
6870,僕が歩く君の軌跡【合冊版】(10) (フレイヤコミックス),10,2026-08-08
7484,アカデミーの天才剣士（コミック）２ (GAコミック),,2026-08-08
13743,聖女様に婚約者を奪われたので、魔法史博物館に引きこもります。（コミック）　３ (GAコミック),3,2026-08-08
15448,だから、私言ったわよね？　～没落令嬢の案外楽しい領地改革～（コミック）　１ (GAコミック),1,2026-08-08
19456,うすかわいちまいむこうがわ 1　～婚約破棄された二度目の人生、あやかしを視る目が最強軍人を導く～ (ガルドコミックス),1,2026-08-08
24976,暴君皇帝と離婚します（コミック）３ (GAコミック),,2026-08-08
32288,絶対に死ぬモブ悪役令嬢は初恋がしたい【単行本版】 5巻 (コミックROLLY),5,2026-08-08
32321,寡黙な将軍閣下様は魔力ゼロの嫁が好きすぎる～なぜか旦那様の心の声が聞こえます!?～［1話売り］　story09 (花とゆめコミックススペシャル),3,2026-08-08
33034,【報告】とある未解決事件について９ (コミックアウル),,2026-08-08
41173,徒然チルドレン　カラー版（８） (星海社コミックス),8,2026-08-08
44796,16年目の復讐～奴らを地獄に送るまで２０ (コミックアウル),,2026-08-08
49979,「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない！」と王立研究所に即採用されました。[ばら売り]　第29話 (花とゆめコミックススペシャル),,2026-08-08
51832,寝取られアンジェニカと鬼畜伯爵［ばら売り］　第12話 (花とゆめコミックススペシャル),,2026-08-08
52633,シアワセな家族【電子単行本版】１０ (コミックアウル),,2026-08-08
62851,シアワセな家族６４ (コミックアウル),,2026-08-08
64817,狐の花嫁～今宵、呪われ妻は鬼将校に愛でられる～［ばら売り］　第13話 (花とゆめコミックススペシャル),,2026-08-08
65119,ディストピア～引越し先は不貞のシェアハウス～６ (コミックアウル),,2026-08-08
82480,奇妙な日記～あなたはこの謎を解明できますか？～８ (コミックアウル),,2026-08-08
82607,解放宣言～溺愛も執着もお断りです！～【電子単行本版】7巻 (TUGIKURU COMICS),7,2026-08-08
94506,無自覚な天才少女は気付かない[ばら売り]　第33話 (花とゆめコミックススペシャル),,2026-08-08
117128,天罰執行～神様に代わって復讐します～７ (コミックアウル),,2026-08-08
129236,イットボーイハント［ばら売り］第24話［DRUNK!］ イットボーイハント［ばら売り］［DRUNK!］ (花とゆめコミックススペシャル),,2026-08-08
145528,君を映して離さない［ばら売り］　第23話 (花とゆめコミックススペシャル),,2026-08-08
—,なぜ人は悪役に惹かれるのか？　ヴィランで読む文学 未来のわたしにタネをまこう,,2026-08-08
—,本当にあった本気の実話集2: 全く知らん人とリアル鬼ごっこした時の話 Aやんの漫画まとめ本,,2026-08-08
—,婚約破棄23回の冷血貴公子は田舎のポンコツ令嬢にふりまわされる モノクロ版 第1話 (TUGIKURU COMICS),,2026-08-08
—,婚約破棄23回の冷血貴公子は田舎のポンコツ令嬢にふりまわされる モノクロ版 第2話 (TUGIKURU COMICS),,2026-08-08
