タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
宇宙兄弟（４６） (モーニングコミックス),46,2026-07-22,6,1,+5,83.3
メダリスト（１５） (アフタヌーンコミックス),15,2026-07-22,3,3,0,0
GIANT KILLING(70) (モーニングKC),70,2026-07-22,65,33,+32,49.2
「壇蜜」(3) (モーニングKC),3,2026-07-22,71,48,+23,32.4
平和の国の島崎へ（１３） (モーニングコミックス),13,2026-07-22,121,55,+66,54.5
望郷太郎（１５） (モーニングコミックス),15,2026-07-22,176,67,+109,61.9
出禁のモグラ（１３） (モーニングコミックス),13,2026-07-22,241,97,+144,59.8
宇宙兄弟（４６）　小冊子付き特装版 (モーニングコミックス),46,2026-07-22,521,110,+411,78.9
対ありでした。 ～お嬢さまは格闘ゲームなんてしない～　11 (MFコミックス　フラッパーシリーズ),11,2026-07-22,742,241,+501,67.5
「壇蜜」(3)小冊子「百花蜜~壇蜜写真&イラスト集」付き特装版 (プレミアムKC),3,2026-07-22,608,301,+307,50.5
事情を知らない転校生がグイグイくる。 24巻 (デジタル版ガンガンコミックスJOKER),24,2026-07-22,1431,439,+992,69.3
官能先生（５） (イブニングコミックス),5,2026-07-22,890,449,+441,49.6
コヨーテ Ⅴ (ダリアコミックス),,2026-07-22,1111,522,+589,53
ドクターチルドレン～小児外科医～（１１） (コミックＤＡＹＳコミックス),11,2026-07-22,1047,700,+347,33.1
花織さんは転生しても喧嘩がしたい（１０） (モーニングコミックス),10,2026-07-22,3713,863,+2850,76.8
クッキングパパ(178) (モーニングKC),178,2026-07-22,1301,1071,+230,17.7
オタクも恋も連鎖する 5巻 (デジタル版ガンガンコミックスpixiv),5,2026-07-22,2272,1430,+842,37.1
昭和のグラゼニ（１０） (モーニングコミックス),10,2026-07-22,1990,1487,+503,25.3
ミウラ折り小冊子付き 宇宙兄弟(46)特装版 (講談社キャラクターズA),46,2026-07-22,1237,1561,-324,-26.2
アパレルドッグ（７） (モーニングコミックス),7,2026-07-22,5608,1562,+4046,72.1
乙女怪獣キャラメリゼ　10 (MFコミックス　アライブシリーズ),10,2026-07-22,3278,1954,+1324,40.4
ガクサン（１６） (モーニングコミックス),16,2026-07-22,3129,2084,+1045,33.4
とりぱん(36) (ワイドKC),36,2026-07-22,3657,2122,+1535,42
票読みのヴィクトリア（７） (モーニングコミックス),7,2026-07-22,7668,2273,+5395,70.4
東京サラダボウル　２ｎｄ　ｄｉｓｈ　－警視庁編－（１） (コミックＤＡＹＳコミックス),1,2026-07-22,6350,2274,+4076,64.2
宇宙兄弟 公式コンプリートコミックガイド (KCデラックス),,2026-07-22,6917,2930,+3987,57.6
マンガラバー（３） (アフタヌーンコミックス),3,2026-07-22,6172,2976,+3196,51.8
オリジナル手ぬぐい付き 出禁のモグラ(13)限定版 (講談社キャラクターズA),13,2026-07-22,4332,5234,-902,-20.8
異世界町工場無双　～信頼と実績の異世界征服～（８） (モーニングコミックス),8,2026-07-22,18986,6836,+12150,64
スノウ（３） (コミックＤＡＹＳコミックス),3,2026-07-22,9559,7722,+1837,19.2
彼女は裸で踊ってる(3) (モーニングKC),3,2026-07-22,14047,7838,+6209,44.2
サラリーマンＺ（７） (モーニングコミックス),7,2026-07-22,21436,10003,+11433,53.3
おうち彼氏 ~職場よりも可愛いあなた~2 (シルフコミックス),,2026-07-22,12129,11336,+793,6.5
そのつがい婚は王子様と(9) (コミック カーテシック),9,2026-07-22,32770,11926,+20844,63.6
不死鳥殺し（２） (アフタヌーンコミックス),2,2026-07-22,47692,18783,+28909,60.6
ＰＡＸ　国民幸福管理局（１） (アフタヌーンコミックス),1,2026-07-22,67056,27009,+40047,59.7
ゴールデンファントム(1) (アフタヌーンKC),1,2026-07-22,31819,28068,+3751,11.8
甘いお菓子の後は甘い溺愛を～婚約破棄された令嬢は辺境伯子息に溺愛される～(17) (コミック カーテシック),17,2026-07-22,161205,40390,+120815,74.9
恋するサイコの白雪くん4 (FUTAMI COMICS),,2026-07-22,75333,83954,-8621,-11.4
愛さないといわれましても ～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる～（コミック） 分冊版 ： 33 (モンスターコミックスｆ),33,2026-07-22,76526,93517,-16991,-22.2
恋するサイコの白雪くん3 (FUTAMI COMICS),,2026-07-22,82630,94257,-11627,-14.1
将校はいつも不機嫌(9) (コミック カーテシック),9,2026-07-22,171917,183417,-11500,-6.7
