順位,タイトル,巻数,発売日
3290,花野井くんと恋の病（１９） (デザートコミックス),19,2026-07-13
4825,花野井くんと恋の病(19)特装版 (プレミアムKC),19,2026-07-13
4867,きみの横顔を見ていた（６） (別冊フレンドコミックス),6,2026-07-13
5779,ブルターニュ花嫁異聞(7)【電子限定特典ペーパー付き】 (RYU COMICS),7,2026-07-13
6327,黒崎くんの言いなりになんてならないS(3) (別冊フレンドKC),3,2026-07-13
7246,夕闇とかたわれ (KCデラックス),,2026-07-13
9424,オカルトマンガ家 永久保先生の“非”日常［1話売り］　story07 (ホラー シルキー),,2026-07-13
12221,星降る王国のニナ(19)特装版 (プレミアムKC),19,2026-07-13
12298,ケイ×ヤク　－あぶない相棒－（１５） (パルシィコミックス),15,2026-07-13
12662,十九川くんが困らせてくる！（６） (パルシィコミックス),6,2026-07-13
13316,ののちゃん(15) (ジブリコミックス),15,2026-07-13
13375,奴奴奴奴！(2)【電子単行本限定特典付き】 (RYU COMICS),2,2026-07-13
13772,角川まんが学習シリーズ のびーる国語 満点漢字力2 3・4年生の漢字,,2026-07-13
15648,沼すぎてもはや恋（１０） (デザートコミックス),10,2026-07-13
16363,花に噛みぐせ（５） (なかよしコミックス),5,2026-07-13
19249,零れるよるに（７） (Ｋｉｓｓコミックス),7,2026-07-13
19446,ヤングコミック 2026年 08月号 [雑誌],,2026-07-13
24153,死に戻り令嬢の仮初め結婚 ~二度目の人生は生真面目将軍と星獣もふもふ~ 6 (6巻) (YKコミックス),6,2026-07-13
28138,策士な上司は溺愛欲を隠さない。(15) (シェノンコミックス),15,2026-07-13
31422,やわはだに春雷（４） (BE・LOVEコミックス),4,2026-07-13
38857,竜宮ホテル(1)【電子単行本限定特典付き】 (RYU COMICS),1,2026-07-13
39439,誰そ彼のひと（２） (Ｋｉｓｓコミックス),2,2026-07-13
41661,策士な上司は溺愛欲を隠さない。～囲って、乱して、とろあまエッチ～(15) (シェノンコミックス+),15,2026-07-13
45952,コミック乱ツインズ 2026年08月号 [雑誌],,2026-07-13
54157,二度目の恋は、甘くてアブナイ(20) (シェノンコミックス),20,2026-07-13
90656,たぬきはたぬき(2) (RYU COMICS),2,2026-07-13
105692,愛したがりエリートくんには秘密がある。(18) (シェノンコミックス),18,2026-07-13
158984,ハーレム相続【単話】（２８） (ビッグコミックス),28,2026-07-13
—,星降る王国のニナ（１９） (BE・LOVEコミックス),,2026-07-13
—,週刊ビッグコミックスピリッツ 2026年33号【デジタル版限定グラビア増量｢白戸ゆめの」】（2026年7月13日発売号） [雑誌],,2026-07-13
—,転生美女と夜が野獣王子【単行本版】VII【電子書店限定特典付き】 (恋愛宣言),,2026-07-13
—,ひとりごはん おうちで冷やし中華 (ぐる漫),2,2026-07-13
—,鎌倉ものがたり・夫婦編 運命の人 (アクションコミックス),,2026-07-13
