タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
蒼き鋼のアルペジオ(31) (ヤングキングコミックス),31,2026-08-28,106,76,+30,28.3
昭和天皇物語（１９） (ビッグコミックス),19,2026-08-28,193,114,+79,40.9
セシルの女王（１１） (ビッグコミックス),11,2026-08-28,343,203,+140,40.8
マイホームアフロ田中（６） (ビッグコミックス),6,2026-08-28,444,241,+203,45.7
おそらくカノジョは俺の兄貴を狙ってる 3 (ヤングアニマルコミックス),3,2026-08-28,2335,301,+2034,87.1
レ・セルバン（１０） (ビッグコミックス),10,2026-08-28,624,302,+322,51.6
S級ギルドを離脱した刀鍛冶の自由な辺境スローライフ～ブラックギルドから解放されて気ままに鍛冶してたら、伝説の魔刀が生まれていました～3巻 (グラストCOMICS),3,2026-08-28,894,316,+578,64.7
高良くんと天城くん 8 (KITORA),8,2026-08-28,1098,412,+686,62.5
追放悪役令嬢の旦那様 10 (ヤングアニマルコミックス),10,2026-08-28,1314,498,+816,62.1
ぼくの好きな人が好きな人 7 (ヤングアニマルコミックス),7,2026-08-28,1317,520,+797,60.5
週刊漫画ＴＩＭＥＳ　２０２６年９／１１号 [雑誌] (週刊漫画TIMES),,2026-08-28,16844,567,+16277,96.6
蒼き鋼のアルペジオ ~海洋技術総合学院タカオ部~ 2 (2巻) (YKコミックス),2,2026-08-28,1101,582,+519,47.1
ミワさんなりすます（１７） (ビッグコミックススペシャル),17,2026-08-28,1123,602,+521,46.4
ダウナーお姉さんは遊びたい（３） (てんとう虫コミックススペシャル),3,2026-08-28,1164,616,+548,47.1
捕虜英雄～捨て駒にされた剣奴は敵国で成り上がる～ 3 (ヤングアニマルコミックス),3,2026-08-28,2960,660,+2300,77.7
変女～変な女子高生 甘栗千子～ 22 (ヤングアニマルコミックス),22,2026-08-28,1429,662,+767,53.7
追放された転生貴族、外れスキルで内政無双～気ままに領地運営するはずが、スキル『ガチャ』のお陰で最強領地を作り上げてしまった～9巻 (グラストCOMICS),9,2026-08-28,1472,669,+803,54.6
名前のない病気（４） (ビッグコミックス),4,2026-08-28,1340,681,+659,49.2
【新装版】今どきの若いモンは（３５） (サイコミ×裏少年サンデーコミックス),35,2026-08-28,1746,926,+820,47
逆行悪女はやることが多すぎる: 2 【電子限定挿絵付き小説収録】 (ZERO-SUMコミックス),,2026-08-28,1814,947,+867,47.8
数学ゴールデン 9 (ヤングアニマルコミックス),9,2026-08-28,1762,1130,+632,35.9
れんげとなると！（７） (ビッグコミックス),7,2026-08-28,3271,1226,+2045,62.5
Comic ZERO-SUM (コミック ゼロサム) 2026年10月号[雑誌],,2026-08-28,5598,1317,+4281,76.5
無能は不要と言われ『時計使い』の僕は職人ギルドから追い出されるも、ダンジョンの深部で真の力に覚醒する THE COMIC ６ (Ride Comics),6,2026-08-28,1531,1452,+79,5.2
馬小屋暮らしのご令嬢は案外領主に向いている？ コミック版 （7） 【かきおろし漫画付】 (BKコミックスf),7,2026-08-28,3083,1475,+1608,52.2
しすたれじすた（４） (ビッグコミックス),4,2026-08-28,3015,1625,+1390,46.1
サラセニア（５） (ビッグコミックス),5,2026-08-28,2951,1647,+1304,44.2
狼くんの愛はちょっと不機嫌3-アイドル編- (バンブーコミックス moment),,2026-08-28,4923,2125,+2798,56.8
皇都陰陽学校　傷モノの花嫁　外伝　分冊版（４） (シリウスコミックス),4,2026-08-28,6587,2141,+4446,67.5
ガイシューイッショク！【単話】（５１） (ビッグコミックス),51,2026-08-28,3852,2216,+1636,42.5
漫画ゴラク 2026年 9/11 号 [雑誌] (週刊漫画ゴラク),,2026-08-28,20226,2244,+17982,88.9
溺愛令嬢は旦那さまから逃げられません…っ アンソロジーコミック　9巻 (ZERO-SUMコミックス),9,2026-08-28,4594,2323,+2271,49.4
身代わり花嫁は、旦那様から溺愛されるようです　アンソロジーコミック　3巻 (ZERO-SUMコミックス),3,2026-08-28,3503,2511,+992,28.3
ダウナーお姉さんは遊びたい 3 オレカバトル2特別カードつき特装版 ([特装版コミック]),,2026-08-28,2970,2670,+300,10.1
ポーション、わが身を助ける　第２０話 (ヒーローコミックス),,2026-08-28,6395,2685,+3710,58
ポケットモンスターSPECIAL スカーレット・バイオレット（５） (てんとう虫コミックス),5,2026-08-28,4469,2881,+1588,35.5
黒兎伯爵の溺愛求婚　1巻 (ZERO-SUMコミックス),1,2026-08-28,4404,2894,+1510,34.3
おののけ! くわいだん部(3) (怪と幽COMIC),3,2026-08-28,5138,3026,+2112,41.1
お気の毒ですが、冒険の書は魔王のモノになりました。 17 (コミックヘヴン),17,2026-08-28,15689,3170,+12519,79.8
DOUBLE HELIX BLOSSOM（１０） (てんとう虫コミックス),10,2026-08-28,5881,3378,+2503,42.6
土竜の唄（９６） (ヤングサンデーコミックス),96,2026-08-28,4216,3470,+746,17.7
まんがで!にゃんこ大戦争 (19) (てんとう虫コミックススペシャル),19,2026-08-28,3787,3484,+303,8
ぼくの魔なむすめ（５） (ビッグコミックス),5,2026-08-28,5427,3570,+1857,34.2
秘匿夫婦～クピドの悪戯～ 16 (漫画ゴラク),16,2026-08-28,12472,3879,+8593,68.9
スリースター（２３） (サイコミ×裏少年サンデーコミックス),23,2026-08-28,7633,3942,+3691,48.4
寺生まれ猫のタマさん( 2) (ニチブンコミックス),2,2026-08-28,14124,4111,+10013,70.9
枯れた花に涙を 6巻 (LINEコミックス),6,2026-08-28,11902,4120,+7782,65.4
ふつつかな悪女ではございますが　～雛宮蝶鼠とりかえ伝～　連載版: 54 (ZERO-SUMコミックス),54,2026-08-28,7593,4295,+3298,43.4
社内探偵(73) (コミックなにとぞ),73,2026-08-28,13301,4386,+8915,67
【分冊版】誰かこの状況を説明してください！ ～契約から始まるウェディング～ 第83話(アリアンローズコミックス),,2026-08-28,13654,4480,+9174,67.2
宗像教授セレクション 女たちの神話 (ビッグコミックススペシャル),,2026-08-28,11611,4646,+6965,60
れむ a stray cat (6) (ビッグコミックス),6,2026-08-28,6139,5231,+908,14.8
推し(嘘)の筆頭魔術師様が「俺たち、両思いだったんだね」と溺愛してくるんですが！？【単話版】第19話 (コミックブリーゼ),,2026-08-28,4684,5247,-563,-12
冴えないおっさん、実は最強 1 (ライドコミックス),1,2026-08-28,18455,5349,+13106,71
樹海の魔女　2巻 (ZERO-SUMコミックス),2,2026-08-28,12199,5989,+6210,50.9
没落令嬢、貧乏騎士のメイドになります コミック版（分冊版） 【第40話】 (BKコミックスf),,2026-08-28,44907,6515,+38392,85.5
ハズレ嫁は最強の天才公爵様と再婚しました。２ (レジーナCOMICS),2,2026-08-28,12075,6656,+5419,44.9
変態侯爵の理想の奥様　仮面の夜　単話版4 (Sonyaコミックス),4,2026-08-28,17682,6932,+10750,60.8
新卒の美和ちゃん～社内探偵外伝～(15) (コミックなにとぞ),15,2026-08-28,17156,7103,+10053,58.6
ブラックチャンネル (15) (コロコロコミックス),15,2026-08-28,12758,7679,+5079,39.8
明日政略結婚する令嬢が幼なじみと過ごす最後の一夜アンソロジー (LOVEBITESコミックス),,2026-08-28,13418,8048,+5370,40
注文の多い魔法使い　契約花嫁はおねだり上手な最強魔術師に溺愛されています!?: 3【電子限定描き下ろし付き】 (ZERO-SUMコミックス),1,2026-08-28,8118,8395,-277,-3.4
その恋、自販機で買えますか？ ④ 特装版 (Charles Comics),,2026-08-28,12598,8464,+4134,32.8
ビリオン ブレイク（６） (サイコミ×裏少年サンデーコミックス),6,2026-08-28,11990,8796,+3194,26.6
ならば、悪女になりましょう～亡き者にした令嬢からやり返される気分はいかがですか？～　２(ベリーズファンタジーコミックス),2,2026-08-28,14495,8813,+5682,39.2
ゲーマーが妖怪退治やってみた! (8) (コロコロコミックス),8,2026-08-28,13216,9031,+4185,31.7
ソニックと勇気のつるぎ (2) (コロコロコミックススペシャル),2,2026-08-28,14516,9804,+4712,32.5
