タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
路傍のフジイ【単話】（６５） (ビッグコミックス),65,2026-08-24,14072,7003,+7069,50.2
めとりめとられあい愛す 仮面夫婦は添い遂げる!? 壱 (あすかコミックスDX),,2026-08-24,43111,13150,+29961,69.5
断罪＝エロトラップダンジョン!? ～悪役令嬢に転生したら冤罪で追放されたので攻略対象のアサシンと踏破します～【コミックス版】(2) (BABY G-Side),2,2026-08-24,38941,30626,+8315,21.4
後宮真贋判定人 (2) (バーズコミックス エメリナコレクション),2,2026-08-24,69711,39148,+30563,43.8
低体温男子になつかれました。　4 (プティルコミックス),4,2026-08-24,46419,39525,+6894,14.9
ハーレム相続【単話】（３０） (ビッグコミックス),30,2026-08-24,140478,44071,+96407,68.6
愛にはどうぞ、花を添えて【単話】１１ (natsumeコミック),11,2026-08-24,119403,61264,+58139,48.7
