タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
転生幼女はあきらめない 12巻 (マッグガーデンコミックスBeat'sシリーズ),12,2026-09-14,848,92,+756,89.2
享年82歳の異世界転生！？～ハズレ属性でも、スキルだけで無双します～ 4巻 (マッグガーデンコミックスBeat'sシリーズ),4,2026-09-14,1506,276,+1230,81.7
異世界転移で女神様から祝福を！ ～いえ、手持ちの異能があるので結構です～ @COMIC 6巻 (マッグガーデンコミックスBeat'sシリーズ),6,2026-09-14,2140,546,+1594,74.5
落ちこぼれ[☆1]魔法使いは、今日も無意識にチートを使う８ (アルファポリスCOMICS),8,2026-09-14,2325,650,+1675,72
しなのんちのいくる8,8,2026-09-14,1395,822,+573,41.1
あきらかに年齢を詐称している女子高生VTuber 5 (コミックエッセイ),5,2026-09-14,1283,897,+386,30.1
せふれ(12) (ヤングキングコミックス),12,2026-09-14,1947,1184,+763,39.2
追放されたギルド職員は、世界最強の召喚士＠ＣＯＭＩＣ 5巻 (マッグガーデンコミックスBeat'sシリーズ),5,2026-09-14,2826,1376,+1450,51.3
ベアフェイス ～公安を去った男～ 8巻 (ヤングキングコミックス),8,2026-09-14,1682,1394,+288,17.1
嘘つき陛下が私に執着する理由　６ (MANGAバル コミックス),6,2026-09-14,4622,1991,+2631,56.9
江戸の不倫は死の香り (7) (SPコミックス),7,2026-09-14,2389,2000,+389,16.3
悪役令嬢と鬼畜騎士　連載版: 28 (ZERO-SUMコミックス),28,2026-09-14,10314,4552,+5762,55.9
自分を押し売りしてきた奴隷ちゃんがドラゴンをワンパンしてた　戯画版 2巻 (マッグガーデンコミックスBeat'sシリーズ),2,2026-09-14,10287,5776,+4511,43.9
血契のアナスタシア　３ (MANGAバル コミックス),3,2026-09-14,10727,5777,+4950,46.1
怠惰の魔女スピーシィ　３ (MANGAバル コミックス),3,2026-09-14,13450,6965,+6485,48.2
幽霊殿下とわたしの秘密のおしゃべり3 (ブリーゼコミックス),3,2026-09-14,14029,7738,+6291,44.8
