タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
だんドーン（１２） (モーニングコミックス),12,2026-08-21,142,92,+50,35.2
波よ聞いてくれ（１３） (アフタヌーンコミックス),13,2026-08-21,143,101,+42,29.4
バトルスタディーズ(49) (モーニングKC),49,2026-08-21,105,109,-4,-3.8
バトルスタディーズ(50) (モーニングKC),50,2026-08-21,109,110,-1,-0.9
さがドーン～江藤新平と肥前の妖怪～ (モーニングコミックス),,2026-08-21,260,129,+131,50.4
ボーイッシュ彼女が可愛すぎる 6巻通常版 (デジタル版ガンガンコミックスpixiv),6,2026-08-21,461,179,+282,61.2
国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。～弱小国家が大陸最強の竜の楽園になるまで～（６） (モーニングコミックス),6,2026-08-21,876,240,+636,72.6
二階堂地獄ゴルフ（１４） (モーニングコミックス),14,2026-08-21,425,248,+177,41.6
リコリス・リコイル　9 (MFコミックス　フラッパーシリーズ),9,2026-08-21,267,276,-9,-3.4
クマとウサギは友達ではいられない 4巻 (デジタル版ガンガンコミックスpixiv),4,2026-08-21,775,288,+487,62.8
ディグイット（４） (アフタヌーンコミックス),4,2026-08-21,781,332,+449,57.5
銃夢機甲術戦記（１） (イブニングコミックス),1,2026-08-21,666,404,+262,39.3
織田ちゃんと明智くん（８） (モーニングコミックス),8,2026-08-21,1212,461,+751,62
ボーイッシュ彼女が可愛すぎる(6)特装版 小冊子付き (SEコミックスプレミアム),6,2026-08-21,921,466,+455,49.4
Ｋ２（５３） (イブニングコミックス),53,2026-08-21,639,480,+159,24.9
ボールパークでつかまえて！（２０） (モーニングコミックス),20,2026-08-21,1562,516,+1046,67
週刊漫画ＴＩＭＥＳ　２０２６年９／４号 [雑誌] (週刊漫画TIMES),,2026-08-21,19835,611,+19224,96.9
８月３１日のロングサマー（１３） (モーニングコミックス),13,2026-08-21,1438,630,+808,56.2
どくだみの花咲くころ（５） (アフタヌーンコミックス),5,2026-08-21,1548,833,+715,46.2
しあわせ食堂の異世界ご飯11巻 (Berry's COMICS),11,2026-08-21,5421,1576,+3845,70.9
漫画ゴラク 2026年 9/4 号 [雑誌] (週刊漫画ゴラク),,2026-08-21,13142,1827,+11315,86.1
よき法律家は悪しき隣人（８） (モーニングコミックス),8,2026-08-21,3441,2442,+999,29
スタジオカバナ９ (シルフコミックス),9,2026-08-21,5375,2479,+2896,53.9
OMORI(4) (アフタヌーンKC),4,2026-08-21,2902,2494,+408,14.1
魔法少女ノ魔女裁判 2 (MFC),2,2026-08-21,2976,2733,+243,8.2
ねこねこ幼女の愛情ごはん～異世界でもふもふ達に料理を作ります！～4巻 (Berry's COMICS),4,2026-08-21,7375,3333,+4042,54.8
首領ちゃん（３） (モーニングコミックス),3,2026-08-21,6103,3340,+2763,45.3
揺さぶれ純情 (ダリアコミックス),,2026-08-21,9106,3720,+5386,59.1
モジポニカ！（３） (アフタヌーンコミックス),3,2026-08-21,5021,3836,+1185,23.6
