タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
悪役令嬢レベル99　～私は裏ボスですが魔王ではありません～　その６ (B's-LOG COMICS),,2026-07-31,15,5,+10,66.7
結界師の一輪華 8 (B's-LOG COMICS),8,2026-07-31,72,39,+33,45.8
異世界転移したら愛犬が最強になりました ～シルバーフェンリルと俺が異世界暮らしを始めたら～ THE COMIC 7【電子もふもふ特典付き】 (ライドコミックス),,2026-07-31,265,76,+189,71.3
悪の華道を行きましょう　7巻 (ZERO-SUMコミックス),7,2026-07-31,419,91,+328,78.3
レベル1から始まる召喚無双 THE COMIC 9 (ライドコミックス),9,2026-07-31,290,117,+173,59.7
AR／MS!!(エーアール・マルチプルサヴァイヴ) 7【電子版限定特典付き】 (MeDu COMICS),,2026-07-31,356,171,+185,52
悪役令嬢ですが、幸せになってみせますわ！　アンソロジーコミック: 17 (ZERO-SUMコミックス),17,2026-07-31,533,219,+314,58.9
王太子妃になんてなりたくない!! 婚約者編: 5【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-07-31,517,264,+253,48.9
BLゲームの主人公の弟であることに気がつきました 5 (B's-LOG COMICS),5,2026-07-31,605,341,+264,43.6
訳あり令嬢でしたが、溺愛されて今では幸せです アンソロジーコミック: 9 (ZERO-SUMコミックス),9,2026-07-31,825,385,+440,53.3
心を閉ざした公爵閣下と婚約したはずなのに、なぜか大切にされてしまってます！ 4【電子限定おまけ付き】 (ライドコミックス),3,2026-07-31,609,417,+192,31.5
平凡な俺♂だけど異世界で溺愛されてます　アンソロジーコミック: 5 (ZERO-SUMコミックス),5,2026-07-31,1084,599,+485,44.7
ニーハオ、おいしい東京日和。　1 (トーチコミックス),1,2026-07-31,3719,1911,+1808,48.6
わたしの創った千年王国　天才魔導師の自由気ままな転生無双譚　2巻 (ZERO-SUMコミックス),2,2026-07-31,6990,3782,+3208,45.9
宝石商リチャード氏の謎鑑定 7巻 (ZERO-SUMコミックス),7,2026-07-31,13177,4161,+9016,68.4
