順位,タイトル,巻数,発売日
6,不徳のギルド 18巻 (デジタル版ガンガンコミックス),18,2026-09-11
18,うるわしの宵の月（１１） (デザートコミックス),11,2026-09-11
20,マネマネにちにち（４） (ゲッサン少年サンデーコミックス),4,2026-09-11
37,ケンガンオメガ（３４） (裏少年サンデーコミックス),34,2026-09-11
45,無能なナナ 15巻 (デジタル版ガンガンコミックス),15,2026-09-11
57,ダンス・ダンス・ダンスール（３３） (ビッグコミックス),33,2026-09-11
68,マチネとソワレ（１９） (ゲッサン少年サンデーコミックス),19,2026-09-11
83,戦隊レッド 異世界で冒険者になる 12巻 (デジタル版ガンガンコミックス),12,2026-09-11
92,ちはやふる　ｐｌｕｓ　きみがため（７） (BE・LOVEコミックス),7,2026-09-11
95,勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。……なので大聖女、お前に追って来られては困るのだが？（コミック） 10巻 (デジタル版ガンガンコミックスONLINE),10,2026-09-11
96,無自覚聖女は今日も無意識に力を垂れ流す ～公爵家の落ちこぼれ令嬢、嫁ぎ先で幸せを掴み取る～　9【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
98,恋と呼ぶにはささやかですが 2巻 (デジタル版ガンガンコミックス),2,2026-09-11
104,暗殺後宮～暗殺女官・花鈴はゆったり生きたい～（１１） (ビッグコミックス),11,2026-09-11
146,竜送りのイサギ（８） (サンデーうぇぶりコミックス),8,2026-09-11
147,パンをナメるな！（２） (マンガワンコミックス),2,2026-09-11
155,ブルーウルスス（３） (裏少年サンデーコミックス),3,2026-09-11
168,失格紋の最強賢者 ～世界最強の賢者が更に強くなるために転生しました～ 36巻 (デジタル版ガンガンコミックスＵＰ！),36,2026-09-11
173,ハーレム相続（３） (ビッグコミックス),3,2026-09-11
178,殲滅魔導の最強賢者　無才の賢者、魔導を極め最強へ至る 11巻 (デジタル版ガンガンコミックスＵＰ！),11,2026-09-11
198,とある魔術の禁書目録 34巻 (デジタル版ガンガンコミックス),34,2026-09-11
249,ジャイアントお嬢様（１３） (サンデーうぇぶりコミックス),13,2026-09-11
287,やんごとなき一族（２１） (Ｋｉｓｓコミックス),21,2026-09-11
322,女子高校生の日常 2巻 (デジタル版ガンガンコミックスONLINE),2,2026-09-11
481,なのに、千輝くんが甘すぎる。（１５） (デザートコミックス),15,2026-09-11
512,異世界サモナー、神話の怪物達と現代で無双する　～裏切られた元英雄は、愛重めな仲間と平和に暮らしたい～２【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
524,最強は田舎農家のおっさんでした～最高ランクのドラゴンを駆除した結果、実力が世界にバレました～ 4巻 (デジタル版ガンガンコミックスONLINE),4,2026-09-11
527,限界！推し活伝説 YOSHIO（８） (サンデーうぇぶりコミックス),8,2026-09-11
645,週刊漫画ＴＩＭＥＳ　２０２６年９／２５号 [雑誌] (週刊漫画TIMES),,2026-09-11
701,恋スルシカク（５） (BE・LOVEコミックス),5,2026-09-11
720,なのに、千輝くんが甘すぎる。(15)特装版 (プレミアムKC),15,2026-09-11
797,惚れたはれたパンダ（２） (デザートコミックス),2,2026-09-11
812,ガイド役の天使を殴り倒したら、死霊術師になりました　～激カワゴスロリ魔神様、サイコー！～３【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
1116,ぱるたん ~ちいさい人とのくらしは毎日たのしい~(3) (ワイドKC),3,2026-09-11
1149,異世界は猫と共に　～猫好きSEがプログラム知識×魔法具で最強領地をつくるまで～３【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
1330,尊い5歳児たちが私に結婚相手を斡旋してきます～捨てられ令嬢の私に紹介されたのはなんと宰相補佐～ 3巻 (デジタル版ガンガンコミックスONLINE),3,2026-09-11
1402,漫画ゴラク 2026年 9/25 号 [雑誌] (週刊漫画ゴラク),,2026-09-11
1523,群狼に花（３） (別冊フレンドコミックス),3,2026-09-11
1776,国に最強のバリアを張ったら平和になりすぎて追放されました。　～俺の魔法がヤバすぎて、美女と魔族に囲まれてるんだが！？～６【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
1878,訳あり物件のウカちゃん 2巻 (デジタル版ガンガンコミックスONLINE),2,2026-09-11
1959,世界の果ては深愛（７） (パルシィコミックス),7,2026-09-11
2032,毒の王　最強の力に覚醒した俺は美姫たちを従え、発情ハーレムの主となる 1巻 (デジタル版ガンガンコミックスONLINE),1,2026-09-11
2327,ロイヤルウェディングはお断り！ ～転生令嬢は冷血王子との結婚を回避したい～ 3（アリアンローズコミックス）,3,2026-09-11
2436,若葉さんちの青い恋（５） (少年サンデーコミックス),5,2026-09-11
2496,南緯六〇度線の約束（７） (ビッグコミックス),7,2026-09-11
2539,ゲーム世界のモブ悪役に転生したのでラスボスを目指してみた　～なぜか歴代最高の名君と崇められているんですが、誰か理由を教えてください！～ 1巻 (デジタル版ガンガンコミックスONLINE),1,2026-09-11
2593,不貞の子は父に売られた嫁ぎ先の成り上がり男爵に真価を見いだされる　～ロレッタと天才魔道具士の結婚～３【電子書店共通特典イラスト付】 (アース・スターコミックス),1,2026-09-11
2605,勇魔の王国（４） (マンガワンコミックス),4,2026-09-11
4073,光の大聖者と魔導帝国建国記 ～『勇者選抜レース』勝利後の追放、そこから始まる伝説の国づくり～ コミック版 （2） (BKコミックス),2,2026-09-11
4258,ゴスロリ横丁　２巻 (まんがタイムＫＲコミックス),2,2026-09-11
4349,ブループランター（３） (ゲッサン少年サンデーコミックス),3,2026-09-11
4494,君が一等星に光るまで　１巻 (まんがタイムＫＲコミックス),1,2026-09-11
4652,あるるくJKまちある記 気ままにおきらくウォーキング(2) (ガンガンコミックスONLINE),2,2026-09-11
4925,明日もいい日でありますように。　～異世界で新しい家族ができました～三兄弟のほっこりご飯日記１ (アース・スターコミックス),1,2026-09-11
5077,白粉花の告白 (ビームコミックス),,2026-09-11
5840,2周目冒険者は隠しクラス〈重力使い〉で最強を目指す 【コミック】 （11）,11,2026-09-11
6100,オーバーヒール ヒーラーかと思ったら狂戦士だった件(6) (comipo comics),6,2026-09-11
6308,パワハラ限界勇者、魔王軍から好待遇でスカウトされる～勇者ランキング1位なのに手取りがゴミ過ぎて生活できません～＠comic（８） (マンガワンコミックス),8,2026-09-11
7271,異世界全図-村・ダンジョン・魔王城・etc 全てマッピングする旅-(7) (comipo comics),7,2026-09-11
7471,推し活で全てを失ったわたし (シリーズ立ち行かないわたしたち),,2026-09-11
7735,世界を旅して おうちで作って,,2026-09-11
8489,デリヘル、呼んでみた。#47止められない腰振り (フォーチュンコミックアダルト),,2026-09-11
9105,ロング・パス かわじろう短編集 (ゲッサン少年サンデーコミックス),,2026-09-11
11013,男をやめてみた～癌になったので女装して恋をすることにしました～【単行本版】8 (エンペラーズコミックス),8,2026-09-11
11366,閃道トキの5分間 (1) (サンデーうぇぶり),1,2026-09-11
11566,ヒーロー、独り占めしてもいいですか?(2) (KC Kiss),2,2026-09-11
12087,うちのルカなら。 海外のすごい犬とわが家の愛犬どっちもたまらん（３） (ゲッサン少年サンデーコミックス),3,2026-09-11
12093,いつか、お伽話になるまで(1) (KCデザート),1,2026-09-11
12157,死んだ数だけ超強化 -デスペナルティ- 【コミック】 （8）,8,2026-09-11
12225,【合本版】エロゲ世界に転生した俺が、推しへの愛で寝取られヒロインを幸せにする。5巻 (comipo comics),5,2026-09-11
13959,当て馬係の宝条クン (ビームコミックス),,2026-09-11
15040,ダンジョン学園の底辺に転生したけど、なぜか俺には攻略本がある コミック版（分冊版） 【第33話】 (BKコミックス),,2026-09-11
15049,すうぃーとだーく【電子単行本】3巻 (comipo comics),3,2026-09-11
16862,河童のパキチ 1 (ビームコミックス),1,2026-09-11
17443,おじさんの塀 古山フウ短編集 (ビームコミックス),,2026-09-11
17628,背徳お姉さんの誘惑に君は勝てるか？(8) (comipo comics),8,2026-09-11
18264,背徳お姉さんの誘惑に君は勝てるか？(9) (comipo comics),9,2026-09-11
18582,僕を先に番にしているなんて聞いてないっ～年上王子の僕への執着が大人げなかった件～【第9話】 (ヴィオラコミックス),1,2026-09-11
18814,一勝千金【単話】（７６） (裏少年サンデーコミックス),76,2026-09-11
19334,河童のパキチ 2 (ビームコミックス),2,2026-09-11
21119,蛇目さんはほほえみたい! (2) (サンデーうぇぶり),2,2026-09-11
21207,メイクライ メロウライ　act.5 (KiR comics),5,2026-09-11
21669,タタキザサイドハッスル（１） (マンガワンコミックス),1,2026-09-11
22771,嫁食い(3) (BE LOVE KC),3,2026-09-11
23281,【電子版】月刊コミックビーム　2026年10月号 [雑誌],,2026-09-11
23869,悪人の恋　単話版14 (Sonyaコミックス),14,2026-09-11
24767,チラチラ【単話】（１０９） (ビッグコミックス),109,2026-09-11
24799,メイク・ディア・ホーム(3) (KCデラックス),3,2026-09-11
25801,禁忌の転生大魔導士 ～無能からレベルアップで最強に～ 【コミック】 （6）,6,2026-09-11
27024,PRINCE OF GHOST(2) (KCデラックス),2,2026-09-11
27543,元弟子が魔王になったせいで、勇者に連行されました。（２） (サンデーうぇぶりコミックス),2,2026-09-11
29510,男をやめてみた～癌になったので女装して恋をすることにしました～83 (エンペラーズコミックス),83,2026-09-11
31220,アンダーアイドル(2) (ガンガンコミックス),2,2026-09-11
35443,剣一郎くんの婚約者！　act.8 (KiR comics),8,2026-09-11
38984,お嬢様系底辺ダンジョン配信者、迷惑系をボコったらバズって伝説になってますわ！？【単話】（２６） (サンデーうぇぶりコミックス),26,2026-09-11
40253,クロケスタ(9) (comipo comics),9,2026-09-11
42374,生徒会長とヤンキーくん　act.8 恋人編 (KiR comics),,2026-09-11
42545,無能の中の無能王子 スキル【無能】を授かりましたが、周りの女性は【傾国】【傾城】【奸婦】【毒婦】【悪婦】【妖婦】とかです コミック版 （分冊版） 【第17話】 (BKコミックス),2,2026-09-11
44326,復讐装置いかがですか？　３４ (芳文社コミックス),34,2026-09-11
44638,爆乳エルフに搾り取られて、今日も僕は勇者になれない。(10) (comipo comics),10,2026-09-11
46694,きしだがし！？~戦いに疲れた異世界女騎士が、ウチの駄菓子に癒されて帰って行くんだが~【電子単行本】 2巻 (comipo comics),2,2026-09-11
52522,非視界戦闘 アイアンレッキ【単話】（８） (ビッグコミックス),8,2026-09-11
53369,精魂貯蔵者（リビドータンカー）～異世界の幽霊は可愛かった～(6) (comipo comics),6,2026-09-11
54999,召喚された身代わりの贄姫は異世界砂漠の絶倫皇太子に咲き濡らされる １ (ルネッタコミックス),1,2026-09-11
55471,ヒトけもの(18) (comipo comics),18,2026-09-11
76443,鬼巫女ミコト(15) (comipo comics),15,2026-09-11
81586,竜と歩む成り上がり冒険者道 ～用済みとしてSランクパーティから追放された回復魔術師、捨てられた先で最強の神竜を復活させてしまう～ コミック版 （分冊版） 【第41話】 (BKコミックス),1,2026-09-11
84617,義娘が悪役令嬢として破滅することを知ったので、めちゃくちゃ愛します～契約結婚で私に関心がなかったはずの公爵様に、気づいたら溺愛されてました～@comic【単話】（３５.５） (マンガワン女子部),,2026-09-11
89749,かぐや姫の孫(18) (comipo comics),18,2026-09-11
140799,ハーレム相続【単話】（３１） (ビッグコミックス),31,2026-09-11
246145,愛されない花嫁は初夜を一人で過ごす（分冊版）　第18話 (レジーナCOMICS),,2026-09-11
—,怪異と乙女と神隠し（１１） (やわらかスピリッツ),11,2026-09-11
—,あと6日で滅びる崖っぷち国家のハーレムに召喚されてしまった（４） (やわらかスピリッツ),4,2026-09-11
—,おせっかい女子、恋をする2【電子特典付き】,,2026-09-11
—,ハグ　キス　ハグ（６）,6,2026-09-11
—,ビッグコミックスペリオール 2026年19号（2026年9月11日発売） [雑誌],,2026-09-11
—,Demons Roots 約束された敗北(1) (comipo comics),1,2026-09-11
—,ジャンル「ホラー」レンタル不可(1) (comipo comics),1,2026-09-11
