順位,タイトル,巻数,発売日
113,魔法医レクスの変態カルテ　5巻 (バンチコミックス),5,2026-07-09
191,王子様の友達　５ (ドラゴンコミックスエイジ),5,2026-07-09
214,デキる猫は今日も憂鬱（１３） (シリウスコミックス),13,2026-07-09
242,老後に備えて異世界で８万枚の金貨を貯めます（１５）　【電子限定描きおろしペーパー付き】 (シリウスコミックス),15,2026-07-09
269,数字であそぼ。（１６） (フラワーコミックスα),16,2026-07-09
327,魔のものたちは企てる　４ (ドラゴンコミックスエイジ),4,2026-07-09
347,最弱貴族に転生したので悪役たちを集めてみた（５） (シリウスコミックス),5,2026-07-09
368,働かないふたり　38巻 (バンチコミックス),38,2026-07-09
391,辺境の薬師、都でＳランク冒険者となる～英雄村の少年がチート薬で無自覚無双～（１３） (マガジンポケットコミックス),13,2026-07-09
404,リィンカーネーションの花弁 24巻 (ブレイドコミックス),24,2026-07-09
428,２９歳独身中堅冒険者の日常（２２） (週刊少年マガジンコミックス),22,2026-07-09
445,味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（２０） (マガジンポケットコミックス),20,2026-07-09
510,くらいあの子としたいこと　8 (ドラゴンコミックスエイジ),8,2026-07-09
513,田んぼで拾った女騎士、田舎で俺の嫁だと思われている（８） (マガジンポケットコミックス),8,2026-07-09
528,35歳独身山田、異世界村に理想のセカンドハウスを作りたい　～異世界と現実のいいとこどりライフ～　LIFE.02【電子特典付き】 (ドラゴンコミックスエイジ),,2026-07-09
537,劣等人の魔剣使い　スキルボードを駆使して最強に至る（７） (マガジンポケットコミックス),7,2026-07-09
558,王子様の友達　５　イラスト集付き特装版 王子様の友達【特装版】 (ドラゴンコミックスエイジ),,2026-07-09
576,ポーション頼みで生き延びます！　続（５） (シリウスコミックス),5,2026-07-09
601,軍靴のバルツァー（２１） (週刊少年マガジンコミックス),21,2026-07-09
679,ブーツレグ（７） (シリウスコミックス),7,2026-07-09
701,１００万の命の上に俺は立っている（２４） (週刊少年マガジンコミックス),24,2026-07-09
706,今日から始める幼なじみ　17巻 (バンチコミックス),17,2026-07-09
749,つよがりオメガは僕らの番 (6) (ビーボーイオメガバースコミックス),6,2026-07-09
782,週末やらかし飯（７） (コミックＤＡＹＳコミックス),7,2026-07-09
859,だらしないです 堀田先生！ ： 10 (アクションコミックス),10,2026-07-09
907,黒猫と魔女の教室（１５） (マガジンポケットコミックス),15,2026-07-09
910,はめつのおうこく 15巻 (ブレイドコミックス),15,2026-07-09
928,ボクの理想の異世界生活　転生したらケモ耳娘だらけの世界でハーレムに3 (ドラゴンコミックスエイジ),,2026-07-09
1001,「子供を殺してください」という親たち　19巻 (バンチコミックス),19,2026-07-09
1033,幼馴染とはラブコメにならない（２１） (マガジンポケットコミックス),21,2026-07-09
1142,落ちこぼれだった兄が実は最強　～史上最強の勇者は転生し、学園で無自覚に無双する～（１６） (シリウスコミックス),16,2026-07-09
1202,限界集落を脱村した錬金術士、都会で“最強”なのがバレまくる。～老害どもにはいい加減愛想が尽きました～（５） (マガジンポケットコミックス),5,2026-07-09
1346,結婚しましょう、恋する前に（１０） (フラワーコミックス),10,2026-07-09
1399,クラスメイトの元アイドルが、とにかく挙動不審なんです。 6 (ドラゴンコミックスエイジ),6,2026-07-09
1550,ムシバミヒメ　5巻 (バンチコミックス),5,2026-07-09
1607,俺の調教スキルがなんか変 ： 3 (アクションコミックス),3,2026-07-09
1656,私をセンターにすると誓いますか？（６） (少年マガジンエッジコミックス),6,2026-07-09
1759,それでも、親を愛する子供たち　5巻 (バンチコミックス),5,2026-07-09
1763,最弱な僕は＜壁抜けバグ＞で成り上がる～壁をすり抜けたら、初回クリア報酬を無限回収できました！～（１２） (マガジンポケットコミックス),12,2026-07-09
1825,愛妻の裏アカ（８） (マガジンポケットコミックス),8,2026-07-09
2086,「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる（１２） (水曜日のシリウスコミックス),12,2026-07-09
2103,異世界帰りの剣聖は、自分の実力に気がつかない　～ＳＳＳランクの隠しクエストを受けて帰ってきたらレベル１のＦ級探索者になったけど、異世界で鍛え上げた剣術が強すぎて王女やＳ級英雄たちが俺を放ってくれません～（２） (シリウスコミックス),2,2026-07-09
2255,お母さん冒険者、ログインボーナスでスキル【主婦】に目覚めました。週一貰えるチラシで冒険者生活頑張ります！（３） (マガジンポケットコミックス),3,2026-07-09
2290,夜伽の双子―贄姫は二人の王子に愛される―（１２） (フラワーコミックスα),12,2026-07-09
2301,モブだけど最強を目指します！　～ゲーム世界に転生した俺は自由に強さを追い求める～　３ (ドラゴンコミックスエイジ),3,2026-07-09
2315,ハードワーカー中田（７） (マガジンポケットコミックス),7,2026-07-09
2354,異世界から来た君と共に過ごす日常 2 (ドラゴンコミックスエイジ),2,2026-07-09
2792,成仏させてよ！　4巻 (バンチコミックス),4,2026-07-09
4417,緋のつがい (5) (フラワーコミックスα),5,2026-07-09
4656,麻雀放浪記　激闘篇 ： 12 (アクションコミックス),12,2026-07-09
5711,ハンドレッドノート-アグリーダック-(2) (KCデラックス),2,2026-07-09
5817,釣り竿ひとつで異世界放浪　1巻 (バンチコミックス),1,2026-07-09
5966,俺の担当は怪物 1 (ドラゴンコミックスエイジ),1,2026-07-09
6938,うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている。（３） (シリウスコミックス),3,2026-07-09
6977,ゴミ以下だと追放された使用人、実は前世賢者です　～史上最強の賢者、世界最高峰の学園に通う～（５） (シリウスコミックス),5,2026-07-09
7658,この極道調教中につき（１１） (フラワーコミックスα),11,2026-07-09
7753,三国志凶漢伝　暴喰の董卓　2巻 (バンチコミックス),2,2026-07-09
10002,転生したらウイニングイレブンだった件 (シリウスKC),,2026-07-09
11428,鳴るさんだぁ（３） (マガジンポケットコミックス),3,2026-07-09
11508,貴女にかまう暇はないと言われた侯爵令嬢の幸せすぎる末路【第１０話】 貴女にかまう暇はないと言われた侯爵令嬢の幸せすぎる末路【単話】 (ピュールコミックスピュア),,2026-07-09
11774,「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる(12) (シリウスKC),12,2026-07-09
12438,嫁入りのススメ　8　大正御曹司の強引な求婚 (donna COMICS(ドンナ・コミックス)),,2026-07-09
13449,白竜HADOU (49) (ニチブンコミックス),49,2026-07-09
13643,ペンの夢に紅をさす（２） (マガジンポケットコミックス),2,2026-07-09
13884,鳴るさんだぁ（４） (マガジンポケットコミックス),4,2026-07-09
16363,ポンコツ勇者パーティー、竜をひろう　２ (ドラゴンコミックスエイジ),2,2026-07-09
16408,ダンジョン攻略のためなら、ラブコメしなくちゃダメですか？ VOL.2 (ドラゴンコミックスエイジ),2,2026-07-09
17329,せいぶつ部の田辺くん（３） (マガジンポケットコミックス),3,2026-07-09
17344,冷酷参謀の夫婦円満計画※なお、遂行まで十年【第１６話】 冷酷参謀の夫婦円満計画※なお、遂行まで十年【単話】 (ピュールコミックスピュア),,2026-07-09
18750,100億婚 (2) (フラワーコミックスα),2,2026-07-09
19157,ロブレイブ（２） (マガジンポケットコミックス),2,2026-07-09
19851,大盛り！成り上がり飯　2巻（完） (バンチコミックス),2,2026-07-09
21785,そして刹那は繰り返す(1) (KCデラックス),1,2026-07-09
22401,事故物件で猫を飼う　1 (バンチコミックス),1,2026-07-09
26246,後宮の男装妃 〜謎解き娘は皇帝のお気に入り〜(2) (アクションコミックス),2,2026-07-09
26371,ひなたとひかり(3) (シリウスKC),3,2026-07-09
26673,黒魔女さんが通る!!(1) (シリウスKC),1,2026-07-09
27001,出来損ないのラブソング Riff (KiR comics),,2026-07-09
27016,素直じゃないのはハートのせい (3) (フラワーコミックスα),3,2026-07-09
27742,ぷち本当にあった愉快な話 最恐!! 心霊被験SP (バンブーコミックス),,2026-07-09
32256,竜伐のフィエラ 1 (BLADEコミックス),1,2026-07-09
32478,送り屋ヴァナルガンド 4巻 (ブレイドコミックス),4,2026-07-09
32978,送り屋ヴァナルガンド 3巻 (ブレイドコミックス),3,2026-07-09
32983,ブラガール　上巻 (バンチコミックス),1,2026-07-09
33352,皇弟殿下の薬湯妃~初恋の人との駆け落ち先は後宮でした~ (2) (フラワーコミックスα),2,2026-07-09
38392,かわたれ、かたわれ　1 (バンチコミックスコラル),1,2026-07-09
38505,花嫁は白い秘密を宿す (ハーレクインコミックス・キララ),,2026-07-09
39960,或る契約夫婦の結婚カルテ 　1 (donna COMICS(ドンナ・コミックス)),1,2026-07-09
42902,お前は俺のモノだろ？　～俺様社長の独占溺愛～【第２３話】 お前は俺のモノだろ？　～俺様社長の独占溺愛～【単話】 (ピュールコミックスピュア),,2026-07-09
43403,魔女屋敷のメイドさん（4） (コンパスコミックス),4,2026-07-09
45287,贄屍忌鯉 ニシキゴイ ： 3 (アクションコミックス),3,2026-07-09
47171,島さん 分冊版 ： 63 (アクションコミックス),63,2026-07-09
54124,侵略系Vtuber瑛りあん ： 1 (アクションコミックス),1,2026-07-09
55740,白雪姫の一途な恋 (ハーレクインコミックス・キララ),,2026-07-09
57172,魔導具師ダリヤはうつむかない ～Dahliya Wilts No More～【分冊版】 74巻 (ブレイドコミックス),74,2026-07-09
58063,ドレスを捨てた花嫁 (ハーレクインコミックス・キララ),,2026-07-09
58468,戦士に愛を ： 61 (アクションコミックス),61,2026-07-09
76455,魔性のαとナマイキΩ-Be mine ! sideR- 18 Bemine!シリーズ (エクレアコミックプチ),,2026-07-09
77500,ファーストコール ～童貞外科医、年下ヤクザの嫁にされそうです！～ 30 (エクレアコミックプチ),30,2026-07-09
221175,SNS狂の女～自己顕示欲のバケモノ～(44) (コミックなにとぞ),44,2026-07-09
—,最強で最速の無限レベルアップ（１２）　～スキル【経験値１０００倍】と【レベルフリー】でレベル上限の枷が外れた俺は無双する～ (月マガ基地),12,2026-07-09
—,竜が呼んだ娘（３） (ビブリオシリウス),3,2026-07-09
—,となりのきょうだい 理科のなぞ解き大作戦　身近な生き物編,,2026-07-09
—,となりのきょうだい 理科のなぞ解き大作戦　世界の生き物編,,2026-07-09
