順位,タイトル,巻数,発売日
1633,こっちむいて!みい子 (40) (ちゃおコミックス),40,2026-08-26
1864,俺の愛娘は悪役令嬢 3 (角川コミックス・エース),3,2026-08-26
3179,虎王の花嫁さん（１１） (フラワーコミックス),11,2026-08-26
3674,Bite Maker AK (6) (フラワーコミックススペシャル),6,2026-08-26
4228,生まれ変わってやり直させて（３） (フラワーコミックス),3,2026-08-26
5365,魔法少女ダンデライオン（５） (フラワーコミックススペシャル),5,2026-08-26
5368,大福ちゃんと王子さま【電子限定特典付き】（１０） (フラワーコミックス),10,2026-08-26
7600,青春ヘビーローテーション (20) (フラワーコミックス),20,2026-08-26
12866,予想外の溺愛に、戸惑っています～ありのままの私でいいんですか？～アンソロジーコミック～ (異世界フラワーコミックス),,2026-08-26
13951,愛蔵版 天は赤い河のほとり (3) (フラワーコミックススペシャル),3,2026-08-26
27236,夏の思い出　山本直樹ヴィンテージ・コレクション,,2026-08-26
34313,花妻と宵闇～没落令嬢は純血を捧ぐ～（２） (異世界フラワーコミックス),2,2026-08-26
48327,ビューティーポップ Returns (1) (フラワーコミックス),1,2026-08-26
78339,使い魔を探していたら伝説の英雄だとバレた件(7) (コミック エナブレイズ),7,2026-08-26
89705,経験をスキルにする万能な能力を手に入れて、最強の探索者になりました～JKと一緒にダンジョン探索で成り上がる～【分冊版】（15） (マンガBANGコミックス),15,2026-08-26
