タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
オルクセン王国史～野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか～（ノヴァコミックス）７,7,2026-08-25,69,48,+21,30.4
幼女戦記(35) (角川コミックス・エース),35,2026-08-25,72,62,+10,13.9
アンゴルモア　元寇合戦記　博多編　（１３）　弘安の戦い　その三 (角川コミックス・エース),13,2026-08-25,232,136,+96,41.4
オルクセン王国史～野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか～（ノヴァコミックス）７ 小冊子付き特装版 オルクセン王国史【小冊子付き特装版】,,2026-08-25,393,247,+146,37.2
世界最速のレベルアップ　（１０） (角川コミックス・エース),10,2026-08-25,567,251,+316,55.7
SHIORI EXPERIENCE ジミなわたしとヘンなおじさん 26巻 (デジタル版ビッグガンガンコミックス),26,2026-08-25,533,255,+278,52.2
DRAGON QUEST EDEN(1) (ヤングガンガンコミックス),1,2026-08-25,589,318,+271,46
空気が「読める」新入社員と無愛想な先輩: 8【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-08-25,521,328,+193,37
ビッグコミック 2026年17号（2026年8月25日発売） [雑誌],,2026-08-25,8348,502,+7846,94
育成上手な冒険者、幼女を拾い、セカンドライフを育児に捧げる（ノヴァコミックス）６,6,2026-08-25,3360,551,+2809,83.6
銀河特急 ミルキー☆サブウェイ 2 (角川コミックス・エース),2,2026-08-25,1831,919,+912,49.8
恋知らずの神様に捧ぐ（２）【電子限定特典付】 (onBLUE comics),2,2026-08-25,3083,1033,+2050,66.5
HIGH SCORE 25 (りぼんマスコットコミックス),25,2026-08-25,2409,1590,+819,34
アイドルマスター シャイニーカラーズ コヒーレントライト（５） (角川コミックス・エース),5,2026-08-25,2296,1846,+450,19.6
かろりのつやごと Season2 4 (マーガレットコミックスDIGITAL),4,2026-08-25,2427,1862,+565,23.3
この犬ときたら孫のことしか考えていない～犬生魔王のやり遺し～　(２) (角川コミックス・エース),2,2026-08-25,5644,2630,+3014,53.4
ブルーアーカイブ公式4コマ　ぶるーあーかいぶっ！ VOL.2 (DNAメディアコミックス),2,2026-08-25,5444,2940,+2504,46
きみとバラ色の日々 4 (マーガレットコミックス),4,2026-08-25,4022,3216,+806,20
好きな子に告ったら、双子の妹がオマケでついてきた１,1,2026-08-25,7791,3782,+4009,51.5
テトテトテ 8 (マーガレットコミックス),8,2026-08-25,9549,4116,+5433,56.9
包帯ごっこ 8 (マーガレットコミックス),8,2026-08-25,8227,4140,+4087,49.7
ブルーバードリーダー 上【電子限定描き下ろし付き】 ブルーバードリーダー【電子限定描き下ろし付き】 (ドットブルームコミックスDIGITAL),1,2026-08-25,9281,4450,+4831,52.1
突風とビート 5 (マーガレットコミックス),5,2026-08-25,6538,5140,+1398,21.4
敗けサキュ×リリアの美味なる夜 1 (角川コミックス・エース),1,2026-08-25,6829,5267,+1562,22.9
乙女椿は笑わない 14 (マーガレットコミックス),14,2026-08-25,8123,5397,+2726,33.6
公爵様は私の体に飢えている。アンソロジー（3） (ベビードールCOMICS),3,2026-08-25,11488,5931,+5557,48.4
キラー通りのソムリエ探偵 7 (女性自身COMICS),7,2026-08-25,11028,6310,+4718,42.8
十五年の石化から目覚めた元王女は、夫と娘から溺愛される(1) (モンスターコミックスf),1,2026-08-25,8534,6744,+1790,21
ほうかごがかり（３） (角川コミックス・エース),3,2026-08-25,11932,6745,+5187,43.5
不遇だった私は愛が重い旦那様から甘く淫らに溺愛される　コミックアンソロジー(3) (comic LAKE),3,2026-08-25,13082,7551,+5531,42.3
